account_id,date,transaction_type,amount,balance,status,branch_code
1,2025-01-01,Withdrawal,356.6,10000.0,Completed,NYC
2,2025-01-02,Deposit,562.69,10005.001667222408,Completed,LAX
3,2025-01-03,Deposit,529.98,10010.003334444815,Completed,LAX
4,2025-01-04,Withdrawal,314.34,10015.005001667223,Completed,LAX
5,2025-01-05,Withdrawal,284.9,10020.00666888963,Completed,LAX
6,2025-01-06,Deposit,513.63,10025.008336112038,Completed,LAX
7,2025-01-07,Deposit,568.34,10030.010003334444,Completed,LAX
8,2025-01-08,Withdrawal,560.86,10035.011670556853,Completed,NYC
9,2025-01-09,Deposit,363.9,10040.013337779259,Completed,LAX
10,2025-01-10,Withdrawal,465.3,10045.015005001667,Completed,CHI
11,2025-01-11,Deposit,566.66,10050.016672224076,Completed,LAX
12,2025-01-12,Transfer,346.42,10055.018339446482,Completed,NYC
13,2025-01-13,Withdrawal,508.53,10060.02000666889,Completed,NYC
14,2025-01-14,Transfer,521.33,10065.021673891297,Completed,LAX
15,2025-01-15,Deposit,592.38,10070.023341113705,Completed,LAX
16,2025-01-16,Transfer,254.61,10075.025008336112,Completed,LAX
17,2025-01-17,Withdrawal,514.5,10080.02667555852,Completed,LAX
18,2025-01-18,Transfer,701.81,10085.028342780926,Completed,LAX
19,2025-01-19,Deposit,437.88,10090.030010003335,Completed,CHI
20,2025-01-20,Deposit,468.38,10095.031677225741,Completed,CHI
21,2025-01-21,Transfer,595.4,10100.03334444815,Completed,CHI
22,2025-01-22,Deposit,423.69,10105.035011670558,Completed,LAX
23,2025-01-23,Withdrawal,615.7,10110.036678892964,Completed,NYC
24,2025-01-24,Transfer,554.05,10115.038346115372,Completed,LAX
25,2025-01-25,Transfer,342.59,10120.040013337779,Completed,CHI
26,2025-01-26,Deposit,510.06,10125.041680560187,Completed,CHI
27,2025-01-27,Withdrawal,354.1,10130.043347782594,Completed,LAX
28,2025-01-28,Withdrawal,595.25,10135.045015005002,Completed,LAX
29,2025-01-29,Transfer,331.93,10140.046682227408,Completed,CHI
30,2025-01-30,Deposit,318.82,10145.048349449817,Completed,CHI
31,2025-01-31,Transfer,386.27,10150.050016672225,Completed,CHI
32,2025-02-01,Withdrawal,419.69,10155.051683894631,Completed,LAX
33,2025-02-02,Withdrawal,631.49,10160.05335111704,Completed,NYC
34,2025-02-03,Withdrawal,498.17,10165.055018339446,Completed,CHI
35,2025-02-04,Withdrawal,529.1,10170.056685561854,Completed,CHI
36,2025-02-05,Transfer,607.49,10175.058352784261,Completed,NYC
37,2025-02-06,Withdrawal,430.22,10180.06002000667,Completed,CHI
38,2025-02-07,Withdrawal,442.17,10185.061687229076,Completed,CHI
39,2025-02-08,Deposit,415.25,10190.063354451484,Completed,LAX
40,2025-02-09,Deposit,578.49,10195.06502167389,Completed,NYC
41,2025-02-10,Withdrawal,663.33,10200.066688896299,Completed,CHI
42,2025-02-11,Deposit,525.87,10205.068356118707,Completed,CHI
43,2025-02-12,Deposit,437.67,10210.070023341113,Completed,CHI
44,2025-02-13,Withdrawal,447.96,10215.071690563522,Completed,LAX
45,2025-02-14,Transfer,388.77,10220.073357785928,Completed,CHI
46,2025-02-15,Withdrawal,573.11,10225.075025008337,Completed,NYC
47,2025-02-16,Deposit,393.71,10230.076692230743,Completed,NYC
48,2025-02-17,Transfer,474.54,10235.078359453151,Completed,NYC
49,2025-02-18,Transfer,383.1,10240.080026675558,Completed,NYC
50,2025-02-19,Withdrawal,310.05,10245.081693897966,Completed,CHI
51,2025-02-20,Withdrawal,246.0,10250.083361120374,Completed,CHI
52,2025-02-21,Withdrawal,411.0,10255.08502834278,Completed,CHI
53,2025-02-22,Deposit,521.81,10260.086695565189,Completed,LAX
54,2025-02-23,Deposit,468.22,10265.088362787596,Completed,CHI
55,2025-02-24,Withdrawal,477.64,10270.090030010004,Completed,NYC
56,2025-02-25,Deposit,392.86,10275.09169723241,Completed,CHI
57,2025-02-26,Transfer,406.83,10280.093364454819,Completed,CHI
58,2025-02-27,Deposit,393.23,10285.095031677225,Completed,LAX
59,2025-02-28,Deposit,521.12,10290.096698899633,Completed,LAX
60,2025-03-01,Withdrawal,704.77,10295.09836612204,Completed,NYC
61,2025-03-02,Withdrawal,486.36,10300.100033344448,Completed,NYC
62,2025-03-03,Transfer,363.07,10305.101700566856,Completed,NYC
63,2025-03-04,Deposit,627.26,10310.103367789263,Completed,CHI
64,2025-03-05,Deposit,400.14,10315.105035011671,Completed,LAX
65,2025-03-06,Withdrawal,555.75,10320.106702234078,Completed,LAX
66,2025-03-07,Transfer,455.73,10325.108369456486,Completed,CHI
67,2025-03-08,Transfer,508.11,10330.110036678892,Completed,CHI
68,2025-03-09,Withdrawal,843.27,10335.1117039013,Completed,NYC
69,2025-03-10,Deposit,425.25,10340.113371123707,Completed,LAX
70,2025-03-11,Transfer,441.33,10345.115038346115,Completed,LAX
71,2025-03-12,Withdrawal,537.52,10350.116705568524,Completed,LAX
72,2025-03-13,Transfer,497.81,10355.11837279093,Completed,CHI
73,2025-03-14,Withdrawal,459.39,10360.120040013338,Completed,NYC
74,2025-03-15,Deposit,431.16,10365.121707235745,Completed,NYC
75,2025-03-16,Withdrawal,559.05,10370.123374458153,Completed,NYC
