emp_id,department,salary,years_employed,performance_rating,projects_completed,hire_date,is_active
50001,HR,44518,19,3.843157311167852,6,1995-01-01,True
50002,IT,74304,12,2.8758476435016673,12,1995-01-02,True
50003,Finance,33963,24,3.384595297441725,6,1995-01-03,True
50004,Sales,69703,6,1.6644974284662963,7,1995-01-04,True
50005,IT,33500,1,3.7350117568363874,11,1995-01-05,True
50006,IT,66046,3,1.4477709027809187,48,1995-01-06,True
50007,IT,13995,10,3.7741712402373606,38,1995-01-07,True
50008,Sales,60921,20,2.6888909527444023,25,1995-01-08,True
50009,HR,70929,21,3.2421885684867893,14,1995-01-09,True
50010,Sales,17464,21,4.5935719843764735,13,1995-01-10,True
50011,Finance,75704,19,3.3457298037503573,16,1995-01-11,True
50012,Finance,23040,11,4.2465108603873825,13,1995-01-12,True
50013,HR,82522,6,3.4285744452638642,37,1995-01-13,True
50014,IT,45549,25,4.02266870907655,25,1995-01-14,True
50015,Ops,69041,26,4.549811415946582,41,1995-01-15,True
50016,Ops,57256,2,3.071735114774296,22,1995-01-16,True
50017,IT,22333,11,1.5845949798888863,33,1995-01-17,True
50018,HR,116181,7,3.793128473111668,41,1995-01-18,True
50019,Finance,95342,8,2.582604263049255,20,1995-01-19,True
50020,HR,24919,10,2.306454300721837,33,1995-01-20,True
50021,HR,64651,0,1.9081794484082275,22,1995-01-21,True
50022,HR,60813,2,2.697537581412954,48,1995-01-22,True
50023,Ops,30709,16,3.3816597898302754,45,1995-01-23,True
50024,Finance,24731,8,2.8014817200845448,14,1995-01-24,True
50025,Sales,99769,28,3.1576329771032565,3,1995-01-25,True
50026,HR,36439,25,4.091194828550517,34,1995-01-26,True
50027,IT,79777,5,4.602686944918956,34,1995-01-27,True
50028,Finance,145197,25,3.397431178437122,19,1995-01-28,True
50029,HR,62067,0,2.9483303395592855,24,1995-01-29,True
50030,IT,27266,19,4.1432169103551875,44,1995-01-30,True
50031,Sales,83803,27,5.0,29,1995-01-31,True
50032,IT,20366,21,3.4310190754954255,41,1995-02-01,True
50033,Sales,26944,3,3.5075578766768087,43,1995-02-02,True
50034,Finance,269434,22,3.332175904453538,21,1995-02-03,True
50035,Sales,28837,22,2.992384124681684,19,1995-02-04,True
50036,IT,57360,13,2.7198762489720694,28,1995-02-05,True
50037,Ops,24633,6,2.5183761162015625,10,1995-02-06,True
50038,Finance,43219,0,3.425380795585682,48,1995-02-07,True
50039,Ops,52453,2,3.997597533421395,28,1995-02-08,True
50040,Ops,9484,14,3.70003025398486,5,1995-02-09,True
50041,IT,31345,27,3.136309120656824,1,1995-02-10,True
50042,IT,69123,4,3.6163361325529344,7,1995-02-11,True
50043,Finance,78159,27,4.133451583513113,49,1995-02-12,True
50044,HR,56836,25,3.449016868096215,28,1995-02-13,True
50045,Ops,26281,23,4.643406854511982,49,1995-02-14,True
50046,IT,58776,5,2.1284704527565053,38,1995-02-15,True
50047,IT,34493,27,4.211409857737561,8,1995-02-16,True
50048,Finance,29141,15,3.8598898837682816,13,1995-02-17,True
50049,Finance,46274,1,3.7665513491542906,49,1995-02-18,True
50050,Finance,181526,17,4.0177394464507135,47,1995-02-19,True
50051,HR,26917,1,2.9877956403347583,36,1995-02-20,True
50052,Sales,86335,6,3.8311653048926235,28,1995-02-21,True
50053,Ops,53838,0,4.532465699050883,0,1995-02-22,True
50054,Ops,18958,15,2.707328925035445,30,1995-02-23,True
50055,Sales,26720,19,2.2412487131221033,13,1995-02-24,True
50056,Sales,41692,20,3.454601923699677,45,1995-02-25,True
50057,IT,34755,27,2.9753689013938267,41,1995-02-26,True
50058,IT,53990,17,2.5765897904579327,40,1995-02-27,True
50059,IT,25438,24,4.853801152823365,8,1995-02-28,True
50060,IT,25081,21,2.8242748720095214,8,1995-03-01,True
50061,HR,84266,20,3.8085618005967983,38,1995-03-02,True
50062,HR,45213,11,3.186874889349485,12,1995-03-03,True
50063,Sales,27653,12,1.8465861551748368,46,1995-03-04,True
50064,IT,46062,13,4.567845629030753,47,1995-03-05,True
50065,IT,138573,13,3.8176035001952466,10,1995-03-06,True
50066,Finance,32472,22,2.89958593383614,0,1995-03-07,True
50067,Ops,18832,21,4.2824107032037215,31,1995-03-08,True
50068,Finance,80675,23,4.107416343082878,45,1995-03-09,True
50069,Ops,149482,23,2.974502229782107,15,1995-03-10,True
50070,HR,97864,10,4.625101289955275,2,1995-03-11,True
50071,HR,20855,29,3.689335433607757,10,1995-03-12,True
50072,Ops,13309,23,3.6381169557995743,23,1995-03-13,True
50073,Ops,97662,1,3.7542067281779024,43,1995-03-14,True
50074,HR,41056,19,3.438489788135616,44,1995-03-15,True
50075,IT,61838,21,3.5416688233776115,31,1995-03-16,True
50076,Ops,40789,20,2.4410630068516976,16,1995-03-17,True
50077,IT,124873,22,3.105693669463337,28,1995-03-18,True
50078,Sales,47546,2,3.726637051235605,28,1995-03-19,True
50079,HR,37602,0,3.7907804695369225,13,1995-03-20,True
50080,IT,49427,24,4.032625710668583,33,1995-03-21,True
50081,Ops,22075,0,2.782461725373279,42,1995-03-22,True
50082,Sales,49988,22,4.167347545123645,12,1995-03-23,True
50083,Finance,42878,26,4.387808176519989,46,1995-03-24,True
50084,Finance,12686,5,3.2802524925473984,48,1995-03-25,True
50085,IT,22721,5,4.097349183683831,48,1995-03-26,True
50086,IT,21197,9,3.6731426960191658,17,1995-03-27,True
50087,IT,17519,9,2.5958989026009167,25,1995-03-28,True
50088,IT,55631,0,3.6236274537337185,47,1995-03-29,True
50089,Finance,88245,11,3.307947580102149,10,1995-03-30,True
50090,Finance,54351,23,4.133153972710145,14,1995-03-31,True
50091,Ops,18366,15,4.690039609330887,43,1995-04-01,True
50092,IT,15331,5,3.1787159730581074,27,1995-04-02,True
50093,Sales,71308,6,4.0723995082912,30,1995-04-03,True
50094,Ops,37013,29,2.304463926967106,3,1995-04-04,True
50095,HR,41894,5,3.66219428669751,29,1995-04-05,True
50096,IT,20399,11,3.952617319664158,1,1995-04-06,True
50097,IT,13135,4,2.118099256415186,24,1995-04-07,True
50098,Ops,167521,1,3.7347981666349535,16,1995-04-08,True
50099,Ops,30761,7,5.0,38,1995-04-09,True
50100,Ops,39393,25,4.177414676245158,15,1995-04-10,True
50101,Ops,22226,8,3.4473719228378337,27,1995-04-11,True
50102,Sales,110499,4,3.21882007642607,34,1995-04-12,True
50103,Sales,35634,5,2.5973480747229445,38,1995-04-13,True
50104,IT,39978,15,4.971406963081554,44,1995-04-14,True
50105,IT,45171,7,2.035569668830285,0,1995-04-15,True
50106,HR,43590,7,2.9841730425800392,29,1995-04-16,True
50107,HR,102736,6,2.8392776409436182,37,1995-04-17,True
50108,Finance,14707,13,3.3539261469914674,16,1995-04-18,True
50109,Sales,63867,2,2.9483790441089424,17,1995-04-19,True
50110,HR,30153,7,3.2894888388685524,32,1995-04-20,True
50111,Ops,34224,4,3.079992737450457,14,1995-04-21,True
50112,Finance,30163,28,2.930486112726607,8,1995-04-22,True
50113,HR,56373,28,3.486618623751809,25,1995-04-23,True
50114,HR,20201,2,5.0,9,1995-04-24,True
50115,Sales,31538,17,4.112211923742297,38,1995-04-25,True
50116,Ops,60999,9,3.498128413465612,9,1995-04-26,True
50117,Finance,30886,17,3.5046865878423112,32,1995-04-27,True
50118,Ops,32683,25,3.6205101439435294,33,1995-04-28,True
50119,Sales,54516,4,3.0784288413715135,25,1995-04-29,True
50120,Finance,45852,24,3.613626837730112,18,1995-04-30,True
50121,Finance,35550,27,3.80719305710804,39,1995-05-01,True
50122,Sales,44873,11,3.6638588422221745,19,1995-05-02,True
50123,IT,25529,17,3.069247967733479,49,1995-05-03,True
50124,Ops,72557,18,2.634493649914153,48,1995-05-04,True
50125,Ops,22523,29,3.1380056210932294,31,1995-05-05,True
50126,Ops,16550,21,3.1459132921030153,10,1995-05-06,True
50127,IT,55909,29,3.194753349538831,43,1995-05-07,True
50128,Sales,19658,27,2.6960673283681165,16,1995-05-08,True
50129,Sales,24361,21,3.6632241185578813,31,1995-05-09,True
50130,IT,37937,16,3.3769185587835,28,1995-05-10,True
50131,Ops,65943,29,3.366404729724005,19,1995-05-11,True
50132,IT,32354,0,3.476321393378591,41,1995-05-12,True
50133,IT,33016,12,3.9711285309747657,7,1995-05-13,True
50134,Ops,33292,4,3.2134422847004087,28,1995-05-14,True
50135,Sales,53858,12,4.611313373924237,37,1995-05-15,True
50136,Ops,31616,17,3.0922288942864293,28,1995-05-16,True
50137,Finance,49513,9,3.5016005416076297,33,1995-05-17,True
50138,HR,96759,5,3.9693458107323267,6,1995-05-18,True
50139,HR,37409,14,3.7036438282718986,47,1995-05-19,True
50140,Ops,34221,23,2.6582801638412965,11,1995-05-20,True
50141,Ops,24445,17,4.090232966915171,28,1995-05-21,True
50142,Finance,27098,11,2.4990391585693486,34,1995-05-22,True
50143,HR,20275,23,4.879419277756181,2,1995-05-23,True
50144,Finance,22061,23,3.835402922989284,8,1995-05-24,True
50145,Finance,30084,29,3.5904358279574864,44,1995-05-25,True
50146,IT,52089,12,2.4234859556653907,12,1995-05-26,True
50147,Ops,56925,7,4.360246893508783,17,1995-05-27,True
50148,Ops,32860,16,3.3649418226132934,27,1995-05-28,True
50149,Ops,51544,16,4.186910025516732,42,1995-05-29,True
50150,HR,19519,27,3.2333701419261844,28,1995-05-30,True
50151,IT,146801,28,3.1143165823984176,47,1995-05-31,True
50152,Ops,187109,25,4.556539654607889,22,1995-06-01,True
50153,HR,39593,21,2.770647412004625,36,1995-06-02,True
50154,IT,57529,8,3.9804602758193983,36,1995-06-03,True
50155,Ops,45104,26,2.7073984632359602,7,1995-06-04,True
50156,Ops,67780,21,3.7280411327767444,11,1995-06-05,True
50157,Finance,29126,27,3.7916649222195073,15,1995-06-06,True
50158,Ops,17111,22,2.888412969187053,40,1995-06-07,True
50159,IT,68987,22,4.226807915697848,44,1995-06-08,True
50160,Ops,22120,13,3.367431081092963,0,1995-06-09,True
50161,IT,52492,2,3.849227935908809,43,1995-06-10,True
50162,IT,24478,23,4.483615288644855,9,1995-06-11,True
50163,Finance,26801,8,4.001928585763184,43,1995-06-12,True
50164,Ops,76669,25,3.711965731529876,5,1995-06-13,True
50165,Sales,111754,13,5.0,28,1995-06-14,True
50166,HR,38782,4,3.2127396781719093,25,1995-06-15,True
50167,Ops,33043,8,3.6428414651233982,27,1995-06-16,True
50168,Sales,50895,5,4.037849848845887,30,1995-06-17,True
50169,Finance,30674,11,2.1688810084997074,0,1995-06-18,True
50170,Ops,15081,5,4.547397682047377,44,1995-06-19,True
50171,Finance,42024,4,4.767667181142184,30,1995-06-20,True
50172,Sales,11132,17,4.326621443185187,47,1995-06-21,True
50173,Ops,55011,8,3.7192598083467683,2,1995-06-22,True
50174,Finance,31449,19,3.198572863239511,26,1995-06-23,True
50175,IT,47659,16,4.280336204839048,32,1995-06-24,True
50176,IT,17615,26,4.412689710470677,41,1995-06-25,True
50177,Ops,27132,8,5.0,46,1995-06-26,True
50178,Ops,59730,22,3.2765693645713387,44,1995-06-27,True
50179,HR,96215,6,3.7276586960213978,27,1995-06-28,True
50180,IT,70238,27,3.719039837207492,46,1995-06-29,True
50181,Ops,53527,11,2.826854645363154,25,1995-06-30,True
50182,Ops,21821,18,5.0,19,1995-07-01,True
50183,Ops,59820,13,3.8588694741642637,8,1995-07-02,True
50184,HR,46001,21,3.401464224482349,35,1995-07-03,True
50185,Sales,35146,20,3.8182003721740645,37,1995-07-04,True
50186,Sales,92691,9,3.76561492175431,16,1995-07-05,True
50187,Ops,26803,12,4.106235491967343,36,1995-07-06,True
50188,Finance,121870,12,3.029296166190366,3,1995-07-07,True
50189,IT,28833,2,2.7615664452981328,15,1995-07-08,True
50190,Finance,28331,14,3.5868062084001653,29,1995-07-09,True
50191,HR,40051,28,4.603896482686636,41,1995-07-10,True
50192,Sales,19263,4,3.7590557343947824,43,1995-07-11,True
50193,Finance,32064,14,4.233928550930083,15,1995-07-12,True
50194,IT,44524,20,4.37409227357039,43,1995-07-13,True
50195,Finance,15364,8,2.8239320541679,0,1995-07-14,True
50196,Sales,25820,21,1.0,11,1995-07-15,True
50197,Ops,18445,6,2.3945598044722116,24,1995-07-16,True
50198,IT,32615,9,2.8413005281285244,6,1995-07-17,True
50199,IT,83999,3,4.421390717740655,0,1995-07-18,True
50200,Finance,32699,17,3.9289888777601445,7,1995-07-19,True
50201,HR,37898,21,3.2155527382168536,42,1995-07-20,True
50202,HR,48537,12,2.984844857505295,17,1995-07-21,True
50203,HR,21797,15,3.32427849654058,6,1995-07-22,True
50204,HR,48589,14,1.5473152384930513,40,1995-07-23,True
50205,Ops,31058,16,3.471198740534612,5,1995-07-24,True
50206,Sales,28780,27,2.0740841059016155,38,1995-07-25,True
50207,Finance,15201,0,4.0165442046374915,16,1995-07-26,True
50208,Finance,29026,16,2.1989304720525107,11,1995-07-27,True
50209,Ops,78812,7,2.4808147700435943,47,1995-07-28,True
50210,Ops,87454,4,3.128949291780095,6,1995-07-29,True
50211,Finance,35518,4,2.935314309193792,13,1995-07-30,True
50212,Ops,44226,20,2.8236870920207413,33,1995-07-31,True
50213,HR,32937,22,3.7228444221604,24,1995-08-01,True
