customer_id,transaction_date,product_category,amount,quantity,customer_rating,region,is_member,loyalty_points
1,2025-01-01 00:00:00,Food,57.82,9,2,South,True,368
2,2025-01-01 01:00:00,Books,59.68,2,1,North,False,260
3,2025-01-01 02:00:00,Electronics,58.33,4,4,North,True,623
4,2025-01-01 03:00:00,Food,51.34,2,3,South,False,919
5,2025-01-01 04:00:00,Food,47.04,5,3,North,False,973
6,2025-01-01 05:00:00,Books,47.73,3,3,North,True,626
7,2025-01-01 06:00:00,Electronics,47.08,2,3,West,True,677
8,2025-01-01 07:00:00,Electronics,67.01,9,5,East,False,578
9,2025-01-01 08:00:00,Food,58.9,5,2,South,True,766
10,2025-01-01 09:00:00,Clothing,5.89,5,4,West,True,581
11,2025-01-01 10:00:00,Food,59.84,1,4,West,False,971
12,2025-01-01 11:00:00,Food,52.92,6,2,South,True,819
13,2025-01-01 12:00:00,Food,49.72,7,1,North,True,202
14,2025-01-01 13:00:00,Food,44.17,1,2,South,False,638
15,2025-01-01 14:00:00,Books,66.86,9,3,East,False,934
16,2025-01-01 15:00:00,Electronics,64.21,8,3,East,False,954
17,2025-01-01 16:00:00,Books,38.41,8,2,South,True,409
18,2025-01-01 17:00:00,Books,56.11,7,2,West,False,832
19,2025-01-01 18:00:00,Books,35.43,5,4,South,True,79
20,2025-01-01 19:00:00,Food,29.31,3,4,East,True,687
21,2025-01-01 20:00:00,Clothing,40.6,9,5,South,True,112
22,2025-01-01 21:00:00,Electronics,62.94,7,5,North,False,622
23,2025-01-01 22:00:00,Clothing,64.3,8,3,South,True,820
24,2025-01-01 23:00:00,Books,57.7,6,5,West,True,136
25,2025-01-02 00:00:00,Books,60.88,5,5,North,False,644
26,2025-01-02 01:00:00,Clothing,57.74,8,1,East,False,883
27,2025-01-02 02:00:00,Clothing,40.38,3,2,South,True,839
28,2025-01-02 03:00:00,Clothing,56.48,7,4,West,False,188
29,2025-01-02 04:00:00,Books,62.01,2,5,West,True,276
30,2025-01-02 05:00:00,Books,61.31,3,4,East,True,736
31,2025-01-02 06:00:00,Electronics,67.83,2,5,South,True,102
32,2025-01-02 07:00:00,Electronics,60.62,5,5,West,False,106
33,2025-01-02 08:00:00,Books,55.27,7,3,North,False,574
34,2025-01-02 09:00:00,Clothing,66.05,1,1,South,True,915
35,2025-01-02 10:00:00,Clothing,49.6,9,2,East,True,953
36,2025-01-02 11:00:00,Electronics,36.77,1,2,North,True,756
37,2025-01-02 12:00:00,Books,47.55,1,3,South,True,172
38,2025-01-02 13:00:00,Electronics,38.83,8,3,West,False,917
39,2025-01-02 14:00:00,Electronics,39.87,6,2,East,False,844
40,2025-01-02 15:00:00,Food,47.83,6,2,East,False,998
41,2025-01-02 16:00:00,Food,38.11,9,1,South,False,330
42,2025-01-02 17:00:00,Food,45.38,4,5,East,False,721
43,2025-01-02 18:00:00,Clothing,21.6,8,1,North,True,190
44,2025-01-02 19:00:00,Books,53.2,4,2,South,False,669
45,2025-01-02 20:00:00,Books,50.02,2,5,North,True,830
46,2025-01-02 21:00:00,Books,37.74,8,2,East,True,224
47,2025-01-02 22:00:00,Books,59.89,7,1,East,False,683
48,2025-01-02 23:00:00,Food,64.06,4,1,East,False,322
49,2025-01-03 00:00:00,Clothing,25.89,9,1,North,True,953
50,2025-01-03 01:00:00,Clothing,38.56,9,5,East,True,507
51,2025-01-03 02:00:00,Food,38.46,8,4,South,True,960
52,2025-01-03 03:00:00,Clothing,35.9,1,4,West,False,547
53,2025-01-03 04:00:00,Food,62.44,7,2,South,False,133
54,2025-01-03 05:00:00,Books,47.09,5,5,West,False,36
55,2025-01-03 06:00:00,Food,46.03,7,3,East,False,92
56,2025-01-03 07:00:00,Books,19.94,9,4,South,True,74
57,2025-01-03 08:00:00,Books,59.53,2,5,North,False,755
58,2025-01-03 09:00:00,Electronics,31.41,4,5,West,True,182
59,2025-01-03 10:00:00,Food,50.9,4,4,North,False,716
60,2025-01-03 11:00:00,Electronics,54.16,2,5,West,False,458
61,2025-01-03 12:00:00,Food,70.41,3,5,East,False,698
62,2025-01-03 13:00:00,Food,30.37,8,4,South,True,677
63,2025-01-03 14:00:00,Electronics,5.0,9,1,West,True,626
64,2025-01-03 15:00:00,Electronics,52.76,6,2,South,False,408
65,2025-01-03 16:00:00,Food,77.01,2,3,West,True,206
66,2025-01-03 17:00:00,Clothing,68.58,2,2,West,True,244
67,2025-01-03 18:00:00,Books,53.14,7,1,East,False,332
68,2025-01-03 19:00:00,Electronics,42.63,8,1,West,False,672
69,2025-01-03 20:00:00,Books,62.11,8,5,North,True,524
70,2025-01-03 21:00:00,Clothing,35.4,6,2,West,False,293
71,2025-01-03 22:00:00,Clothing,57.15,8,1,West,True,953
72,2025-01-03 23:00:00,Clothing,57.58,1,2,West,True,983
73,2025-01-04 00:00:00,Electronics,65.9,9,1,East,False,915
74,2025-01-04 01:00:00,Clothing,91.39,1,3,South,True,747
75,2025-01-04 02:00:00,Electronics,55.89,3,1,South,False,272
76,2025-01-04 03:00:00,Clothing,42.37,9,2,East,True,378
77,2025-01-04 04:00:00,Books,49.62,5,5,North,True,625
78,2025-01-04 05:00:00,Books,23.46,9,2,North,True,663
79,2025-01-04 06:00:00,Food,39.58,9,4,East,True,25
80,2025-01-04 07:00:00,Books,43.86,6,2,South,True,679
81,2025-01-04 08:00:00,Food,42.14,1,3,North,True,543
82,2025-01-04 09:00:00,Books,52.29,7,3,East,False,732
83,2025-01-04 10:00:00,Electronics,37.66,6,3,South,True,717
84,2025-01-04 11:00:00,Books,66.82,9,1,North,True,932
85,2025-01-04 12:00:00,Food,50.0,7,3,North,True,853
86,2025-01-04 13:00:00,Food,49.86,4,2,East,False,609
87,2025-01-04 14:00:00,Clothing,45.08,7,5,South,True,90
88,2025-01-04 15:00:00,Electronics,52.33,2,3,North,True,475
89,2025-01-04 16:00:00,Books,62.38,6,2,East,True,888
90,2025-01-04 17:00:00,Clothing,36.99,6,1,North,False,725
91,2025-01-04 18:00:00,Books,40.13,2,1,South,False,187
92,2025-01-04 19:00:00,Books,45.44,4,5,West,False,568
93,2025-01-04 20:00:00,Clothing,29.81,8,5,North,True,618
94,2025-01-04 21:00:00,Clothing,37.71,8,2,South,True,953
95,2025-01-04 22:00:00,Clothing,42.86,8,5,North,True,194
96,2025-01-04 23:00:00,Clothing,63.12,8,5,West,False,533
97,2025-01-05 00:00:00,Clothing,53.94,1,1,West,True,697
98,2025-01-05 01:00:00,Books,52.9,2,2,North,False,879
99,2025-01-05 02:00:00,Clothing,62.76,4,5,East,False,84
100,2025-01-05 03:00:00,Electronics,47.94,9,2,North,True,591
101,2025-01-05 04:00:00,Food,55.86,3,3,South,True,840
102,2025-01-05 05:00:00,Clothing,48.45,6,1,East,False,76
103,2025-01-05 06:00:00,Clothing,53.98,7,1,South,True,329
104,2025-01-05 07:00:00,Books,41.26,8,1,South,False,382
105,2025-01-05 08:00:00,Clothing,13.42,7,4,East,False,432
106,2025-01-05 09:00:00,Clothing,47.99,3,2,West,True,376
107,2025-01-05 10:00:00,Clothing,71.34,6,3,South,True,340
108,2025-01-05 11:00:00,Books,63.89,5,5,North,True,176
109,2025-01-05 12:00:00,Clothing,64.48,4,3,West,True,425
110,2025-01-05 13:00:00,Food,68.54,1,2,West,True,423
111,2025-01-05 14:00:00,Books,51.33,7,1,East,True,966
112,2025-01-05 15:00:00,Food,52.96,8,4,North,True,173
113,2025-01-05 16:00:00,Books,40.74,2,2,North,False,405
114,2025-01-05 17:00:00,Clothing,45.26,7,2,West,True,81
115,2025-01-05 18:00:00,Food,59.24,6,5,South,True,20
116,2025-01-05 19:00:00,Books,68.06,5,3,South,True,690
117,2025-01-05 20:00:00,Electronics,47.91,4,3,North,True,397
118,2025-01-05 21:00:00,Clothing,43.25,2,5,West,False,329
119,2025-01-05 22:00:00,Books,50.01,6,4,West,True,224
120,2025-01-05 23:00:00,Electronics,59.02,5,1,West,False,776
121,2025-01-06 00:00:00,Books,28.34,2,1,East,False,401
122,2025-01-06 01:00:00,Electronics,15.56,7,4,North,False,780
123,2025-01-06 02:00:00,Clothing,41.74,6,5,North,False,762
124,2025-01-06 03:00:00,Food,31.69,9,2,South,False,784
125,2025-01-06 04:00:00,Electronics,42.38,5,3,South,True,893
126,2025-01-06 05:00:00,Books,47.78,9,2,North,False,854
127,2025-01-06 06:00:00,Clothing,43.2,9,3,North,False,920
128,2025-01-06 07:00:00,Electronics,71.79,1,2,South,True,437
129,2025-01-06 08:00:00,Books,54.9,5,5,North,False,271
130,2025-01-06 09:00:00,Books,54.51,9,5,South,True,279
131,2025-01-06 10:00:00,Books,59.33,7,4,North,True,222
132,2025-01-06 11:00:00,Electronics,32.92,6,2,East,True,586
133,2025-01-06 12:00:00,Electronics,65.59,6,2,East,True,662
134,2025-01-06 13:00:00,Electronics,48.86,7,4,West,False,936
135,2025-01-06 14:00:00,Food,60.06,1,4,North,False,870
136,2025-01-06 15:00:00,Electronics,33.92,4,5,South,False,508
137,2025-01-06 16:00:00,Electronics,26.69,1,5,North,True,341
138,2025-01-06 17:00:00,Electronics,62.27,6,2,North,True,928
139,2025-01-06 18:00:00,Food,55.65,4,5,West,True,616
140,2025-01-06 19:00:00,Electronics,36.47,1,5,South,False,41
141,2025-01-06 20:00:00,Books,36.96,9,2,North,True,175
142,2025-01-06 21:00:00,Electronics,66.88,4,4,South,False,244
143,2025-01-06 22:00:00,Books,32.16,6,2,North,False,252
144,2025-01-06 23:00:00,Books,74.64,7,1,West,True,273
145,2025-01-07 00:00:00,Books,36.49,8,2,South,True,958
146,2025-01-07 01:00:00,Food,59.58,9,1,North,True,333
147,2025-01-07 02:00:00,Food,45.07,9,2,East,True,603
148,2025-01-07 03:00:00,Food,59.05,8,1,South,True,10
149,2025-01-07 04:00:00,Electronics,41.84,3,1,West,False,151
150,2025-01-07 05:00:00,Books,47.56,2,2,East,False,188
151,2025-01-07 06:00:00,Food,50.61,5,5,South,True,959
152,2025-01-07 07:00:00,Food,34.97,1,3,South,True,675
153,2025-01-07 08:00:00,Electronics,61.11,3,5,South,True,637
154,2025-01-07 09:00:00,Food,42.3,1,1,South,False,210
155,2025-01-07 10:00:00,Electronics,46.57,3,2,North,False,972
156,2025-01-07 11:00:00,Clothing,35.08,4,2,North,False,96
157,2025-01-07 12:00:00,Food,11.56,7,2,South,False,820
158,2025-01-07 13:00:00,Clothing,47.13,5,2,West,True,338
159,2025-01-07 14:00:00,Electronics,86.19,5,3,North,False,46
160,2025-01-07 15:00:00,Books,61.77,1,4,South,False,819
161,2025-01-07 16:00:00,Food,49.71,8,1,South,True,735
162,2025-01-07 17:00:00,Electronics,46.06,4,3,West,True,974
163,2025-01-07 18:00:00,Books,50.34,5,5,West,False,56
164,2025-01-07 19:00:00,Books,58.21,2,4,West,True,74
165,2025-01-07 20:00:00,Clothing,32.29,1,4,East,True,253
166,2025-01-07 21:00:00,Electronics,66.71,9,2,South,True,662
167,2025-01-07 22:00:00,Books,60.73,2,3,West,False,570
168,2025-01-07 23:00:00,Food,60.77,6,5,South,False,836
169,2025-01-08 00:00:00,Food,56.58,1,2,North,True,951
170,2025-01-08 01:00:00,Clothing,50.29,1,2,South,True,597
171,2025-01-08 02:00:00,Books,60.09,9,1,South,False,169
172,2025-01-08 03:00:00,Electronics,58.88,4,4,East,False,145
173,2025-01-08 04:00:00,Food,44.69,9,5,North,True,838
174,2025-01-08 05:00:00,Books,41.4,5,4,North,True,32
175,2025-01-08 06:00:00,Books,51.53,7,3,East,False,514
176,2025-01-08 07:00:00,Clothing,73.24,1,1,West,True,795
177,2025-01-08 08:00:00,Food,31.41,6,2,West,False,256
178,2025-01-08 09:00:00,Food,27.99,8,1,South,True,125
179,2025-01-08 10:00:00,Electronics,52.47,1,2,East,False,958
180,2025-01-08 11:00:00,Food,50.76,9,1,West,True,112
181,2025-01-08 12:00:00,Electronics,52.6,3,2,North,False,814
182,2025-01-08 13:00:00,Food,53.66,1,4,East,True,804
183,2025-01-08 14:00:00,Clothing,46.65,1,4,West,True,341
184,2025-01-08 15:00:00,Food,72.35,6,4,North,True,47
185,2025-01-08 16:00:00,Electronics,25.99,6,4,East,True,363
186,2025-01-08 17:00:00,Electronics,37.57,1,1,South,False,786
187,2025-01-08 18:00:00,Clothing,48.45,3,2,South,True,397
188,2025-01-08 19:00:00,Food,25.35,7,4,North,False,194
189,2025-01-08 20:00:00,Food,47.36,3,1,West,False,850
190,2025-01-08 21:00:00,Clothing,74.92,3,2,West,True,736
191,2025-01-08 22:00:00,Food,50.31,3,1,East,False,724
192,2025-01-08 23:00:00,Food,53.46,7,4,North,True,320
193,2025-01-09 00:00:00,Electronics,31.1,4,3,West,False,793
194,2025-01-09 01:00:00,Food,40.75,4,1,South,True,137
195,2025-01-09 02:00:00,Food,44.37,3,4,North,True,354
196,2025-01-09 03:00:00,Clothing,45.23,9,5,South,False,844
197,2025-01-09 04:00:00,Clothing,69.22,2,2,North,False,69
198,2025-01-09 05:00:00,Books,58.37,4,4,East,True,810
199,2025-01-09 06:00:00,Electronics,33.33,8,5,West,False,581
200,2025-01-09 07:00:00,Food,53.7,6,1,West,True,482
201,2025-01-09 08:00:00,Food,57.47,7,1,West,True,719
202,2025-01-09 09:00:00,Books,67.1,7,5,South,False,711
203,2025-01-09 10:00:00,Food,73.71,2,5,West,True,58
204,2025-01-09 11:00:00,Electronics,34.77,4,2,North,False,770
205,2025-01-09 12:00:00,Books,37.84,6,1,South,True,388
206,2025-01-09 13:00:00,Electronics,31.14,3,5,East,True,852
207,2025-01-09 14:00:00,Books,46.49,9,3,South,True,350
208,2025-01-09 15:00:00,Books,57.0,4,3,East,False,845
209,2025-01-09 16:00:00,Clothing,64.81,2,5,South,True,868
210,2025-01-09 17:00:00,Electronics,48.86,6,2,West,True,338
211,2025-01-09 18:00:00,Food,45.2,1,1,East,False,676
212,2025-01-09 19:00:00,Food,52.28,6,3,West,True,756
213,2025-01-09 20:00:00,Electronics,37.47,1,5,South,False,595
214,2025-01-09 21:00:00,Food,81.34,8,5,East,False,435
215,2025-01-09 22:00:00,Food,25.89,5,4,North,False,449
216,2025-01-09 23:00:00,Electronics,52.77,6,5,North,True,376
217,2025-01-10 00:00:00,Books,80.35,2,2,South,False,958
218,2025-01-10 01:00:00,Electronics,50.1,2,3,East,True,390
219,2025-01-10 02:00:00,Books,47.15,9,4,North,False,480
220,2025-01-10 03:00:00,Food,44.64,3,3,West,True,820
221,2025-01-10 04:00:00,Food,47.29,6,3,West,False,113
222,2025-01-10 05:00:00,Food,70.59,5,2,South,False,745
223,2025-01-10 06:00:00,Clothing,16.82,4,5,West,False,773
224,2025-01-10 07:00:00,Books,73.0,2,2,West,True,902
