customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0.0,Yes,No,,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,
5575-GNVDE,,0.0,No,No,34.0,,,,,No,Yes,No,No,,One year,,Mailed check,56.95,1889.5,No
3668-QPYBK,Male,0.0,No,,2.0,Yes,,DSL,Yes,Yes,No,No,,,Month-to-month,,,53.85,,Yes
7795-CFOCW,Male,0.0,,,45.0,No,,DSL,,No,Yes,Yes,No,,One year,No,Bank transfer (automatic),,,
9237-HQITU,Female,0.0,No,,2.0,Yes,No,Fiber optic,No,No,,No,No,No,Month-to-month,Yes,Electronic check,,151.65,Yes
9305-CDSKC,Female,0.0,,No,8.0,Yes,,Fiber optic,,No,Yes,,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,,Yes
1452-KIOVK,Male,0.0,No,Yes,22.0,Yes,Yes,,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),,1949.4,No
6713-OKOMC,,0.0,No,,10.0,No,,DSL,Yes,No,,No,No,,Month-to-month,No,Mailed check,29.75,301.9,
7892-POOKP,Female,0.0,Yes,No,28.0,Yes,Yes,Fiber optic,,,,Yes,Yes,Yes,,Yes,Electronic check,104.8,3046.05,Yes
6388-TABGU,Male,0.0,No,Yes,62.0,Yes,No,DSL,,Yes,No,No,,,One year,No,,56.15,3487.95,No
9763-GRSKD,Male,,Yes,Yes,13.0,Yes,No,,Yes,No,,No,No,No,Month-to-month,Yes,Mailed check,49.95,,No
,Male,0.0,No,,,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,,Two year,No,Credit card (automatic),18.95,326.8,No
8091-TTVAX,Male,0.0,,No,58.0,,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No
0280-XJGEX,,0.0,No,,,Yes,Yes,Fiber optic,,Yes,Yes,No,Yes,,,Yes,Bank transfer (automatic),103.7,5036.3,Yes
5129-JLPIS,,0.0,No,No,25.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No
,Female,0.0,,Yes,,Yes,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,,No,Credit card (automatic),,7895.15,No
8191-XWSZG,Female,0.0,No,No,52.0,,No,No,No internet service,No internet service,No internet service,,,,One year,No,,20.65,1022.95,
9959-WOFKT,Male,0.0,No,Yes,,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,,No,Bank transfer (automatic),106.7,7382.25,
4190-MFLUW,Female,0.0,Yes,Yes,10.0,Yes,No,DSL,No,,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),,528.35,Yes
4183-MYFRB,,0.0,No,No,21.0,,No,Fiber optic,No,,Yes,No,No,Yes,,Yes,Electronic check,90.05,1862.9,No
8779-QRDMV,Male,,No,No,1.0,No,No phone service,,No,No,Yes,,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes
1680-VDCWW,,0.0,,No,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,One year,No,Bank transfer (automatic),19.8,202.25,
1066-JKSGK,Male,0.0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,,Yes
3638-WEABW,Female,,Yes,,58.0,Yes,Yes,,No,Yes,No,Yes,No,,,Yes,,,3505.1,
6322-HRPFA,Male,,,Yes,49.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,,,Credit card (automatic),59.6,,No
6865-JZNKO,Female,0.0,No,,30.0,Yes,,DSL,Yes,Yes,No,,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No
,,0.0,Yes,Yes,47.0,Yes,Yes,Fiber optic,No,Yes,No,,,Yes,,Yes,,,4749.15,Yes
8665-UTDHZ,Male,0.0,Yes,,,No,No phone service,,No,,No,,No,,Month-to-month,No,,30.2,,Yes
5248-YGIJN,,0.0,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,,Yes,,Yes,,Yes,Credit card (automatic),90.25,6369.45,No
8773-HHUOZ,Female,0.0,No,Yes,17.0,,No,DSL,,,No,,,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes
3841-NFECX,Female,1.0,Yes,No,,Yes,Yes,Fiber optic,,,,Yes,No,No,Two year,,Credit card (automatic),96.35,6766.95,
4929-XIHVW,Male,1.0,Yes,,2.0,,No,,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),,181.65,No
,Female,,Yes,,27.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,,66.15,1874.45,No
,Male,0.0,No,No,1.0,Yes,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No
,,1.0,No,No,,,No,,No,No,No,No,No,No,,,Bank transfer (automatic),45.25,,No
6234-RAAPL,Female,0.0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,,99.9,,No
6047-YHPVI,Male,0.0,No,No,,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,,,69.7,316.9,Yes
6572-ADKRS,Female,0.0,No,No,,,No,Fiber optic,No,No,,,No,No,,,Credit card (automatic),74.8,3548.3,No
,Male,0.0,No,No,34.0,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,,Yes
8168-UQWWF,Female,,No,No,11.0,Yes,,Fiber optic,,No,Yes,,Yes,Yes,,Yes,Bank transfer (automatic),,,Yes
8865-TNMNX,Male,0.0,Yes,Yes,10.0,Yes,No,DSL,No,Yes,No,No,,No,One year,No,,,475.7,
9489-DEDVP,Female,,Yes,Yes,70.0,Yes,Yes,DSL,Yes,Yes,No,,Yes,No,,Yes,Credit card (automatic),69.2,4872.35,No
9867-JCZSP,,0.0,,Yes,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,One year,,,20.75,418.25,No
4671-VJLCL,Female,0.0,No,No,63.0,Yes,Yes,,Yes,Yes,Yes,Yes,,No,Two year,Yes,Credit card (automatic),79.85,,No
,,0.0,Yes,,13.0,Yes,Yes,DSL,Yes,Yes,,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No
,Female,0.0,No,No,,Yes,Yes,Fiber optic,No,,No,,,,Month-to-month,,,84.5,3906.7,No
5948-UJZLF,Male,0.0,No,No,2.0,,,DSL,,Yes,No,No,,No,Month-to-month,No,Mailed check,,97,No
7760-OYPDY,Female,0.0,No,,2.0,,,Fiber optic,No,No,,,Yes,No,Month-to-month,Yes,Electronic check,,,Yes
7639-LIAYI,Male,,No,,,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,,79.75,4217.8,No
2954-PIBKO,,,Yes,Yes,69.0,Yes,Yes,,Yes,No,Yes,Yes,No,No,Two year,Yes,,64.15,4254.1,No
8012-SOUDQ,Female,1.0,,No,43.0,Yes,Yes,Fiber optic,,Yes,No,No,Yes,No,Month-to-month,,,90.25,3838.75,
9420-LOJKX,Female,0.0,No,No,15.0,,No,Fiber optic,Yes,,No,,Yes,Yes,Month-to-month,Yes,Credit card (automatic),,1426.4,Yes
6575-SUVOI,,1.0,Yes,No,25.0,,,DSL,Yes,,,,,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No
7495-OOKFY,Female,1.0,Yes,No,8.0,Yes,Yes,,,Yes,No,No,No,No,Month-to-month,,Credit card (automatic),80.65,633.3,Yes
,Female,,Yes,Yes,60.0,Yes,,DSL,Yes,,Yes,,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,
1658-BYGOY,,1.0,,,18.0,Yes,Yes,,No,No,No,No,,Yes,,,Electronic check,95.45,,
8769-KKTPH,,0.0,,Yes,,Yes,Yes,Fiber optic,Yes,,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No
5067-XJQFU,Male,1.0,Yes,Yes,,Yes,Yes,Fiber optic,No,,Yes,Yes,Yes,Yes,One year,Yes,,108.45,7076.35,
