customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0.0,Yes,No,1.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No
,Male,0.0,No,No,,Yes,,DSL,Yes,No,Yes,No,No,No,One year,,Mailed check,56.95,1889.5,No
,,0.0,,No,2.0,Yes,,DSL,,,No,No,No,No,,Yes,Mailed check,,108.15,Yes
,Male,0.0,No,No,45.0,No,,DSL,Yes,No,,,,No,One year,No,Bank transfer (automatic),42.3,1840.75,No
,Female,0.0,No,,,Yes,No,Fiber optic,,No,,No,No,No,Month-to-month,,Electronic check,,151.65,Yes
9305-CDSKC,Female,,,No,8.0,Yes,,Fiber optic,No,No,Yes,No,Yes,,,Yes,Electronic check,99.65,820.5,Yes
1452-KIOVK,Male,0.0,No,Yes,22.0,Yes,Yes,Fiber optic,No,Yes,,No,Yes,,Month-to-month,Yes,Credit card (automatic),89.1,,No
,Female,,No,No,10.0,No,No phone service,DSL,,No,No,,,No,,No,Mailed check,29.75,301.9,No
7892-POOKP,Female,0.0,Yes,No,28.0,Yes,Yes,Fiber optic,,No,Yes,,,Yes,Month-to-month,Yes,,104.8,3046.05,Yes
6388-TABGU,,0.0,,Yes,62.0,,,DSL,Yes,Yes,No,No,No,,One year,No,,56.15,,No
9763-GRSKD,Male,0.0,Yes,Yes,13.0,Yes,,DSL,Yes,No,No,No,No,No,Month-to-month,,Mailed check,49.95,,
,Male,0.0,No,No,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,
8091-TTVAX,Male,0.0,,No,,Yes,,Fiber optic,,No,Yes,,Yes,Yes,One year,No,,,5681.1,
,Male,0.0,No,,49.0,,Yes,,No,Yes,Yes,No,Yes,,Month-to-month,Yes,Bank transfer (automatic),103.7,,Yes
5129-JLPIS,Male,0.0,,No,25.0,Yes,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Electronic check,105.5,2686.05,
3655-SNQYZ,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,,113.25,7895.15,No
8191-XWSZG,Female,,No,,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,One year,No,Mailed check,,1022.95,No
9959-WOFKT,Male,0.0,No,Yes,71.0,,,Fiber optic,Yes,No,Yes,No,Yes,Yes,,,,,7382.25,
4190-MFLUW,Female,,,Yes,10.0,,No,,No,No,,,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes
