age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
90,,,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,,40,United-States,<=50K
82,,132870.0,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356.0,18,United-States,<=50K
66,?,186061.0,Some-college,10,Widowed,?,Unmarried,Black,Female,0,4356.0,40,United-States,<=50K
54,Private,140359.0,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900.0,40,United-States,<=50K
41,,264663.0,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,0,3900.0,40,United-States,<=50K
34,,216864.0,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,,45,United-States,<=50K
38,,150601.0,10th,6,Separated,Adm-clerical,Unmarried,White,Male,0,,40,United-States,<=50K
74,State-gov,88638.0,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683.0,20,United-States,>50K
68,Federal-gov,422013.0,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683.0,40,United-States,<=50K
41,Private,70037.0,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,3004.0,60,?,>50K
45,,172274.0,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004.0,35,United-States,>50K
38,,164526.0,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824.0,45,United-States,>50K
52,Private,129177.0,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,,20,United-States,>50K
32,Private,,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0,2824.0,55,United-States,>50K
51,?,172175.0,Doctorate,16,Never-married,?,Not-in-family,White,Male,0,2824.0,40,United-States,>50K
46,Private,,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824.0,40,United-States,>50K
45,Private,,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,,76,United-States,>50K
57,,317847.0,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824.0,50,United-States,>50K
22,Private,119592.0,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2824.0,40,?,>50K
34,Private,,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0,2824.0,50,United-States,>50K
37,Private,188774.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824.0,40,United-States,>50K
29,Private,,11th,7,Separated,Sales,Not-in-family,White,Female,0,2754.0,42,United-States,<=50K
61,,29059.0,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,2754.0,25,United-States,<=50K
51,Private,153870.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2603.0,40,United-States,<=50K
61,?,,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,2603.0,32,United-States,<=50K
21,Private,,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2603.0,40,United-States,<=50K
33,Private,,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,,32,Mexico,<=50K
49,Private,122066.0,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,2603.0,40,Greece,<=50K
37,,107164.0,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,0,2559.0,50,United-States,>50K
38,,175360.0,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,2559.0,90,United-States,>50K
23,,44064.0,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0,2559.0,40,United-States,>50K
59,,107287.0,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,0,2559.0,50,United-States,>50K
52,Private,198863.0,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,,60,United-States,>50K
51,Private,,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559.0,50,United-States,>50K
60,Self-emp-not-inc,,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559.0,50,United-States,>50K
63,Federal-gov,39181.0,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559.0,60,United-States,>50K
53,,,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,,48,United-States,>50K
51,Private,197163.0,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,,50,United-States,>50K
37,,137527.0,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,,60,United-States,>50K
54,Private,161691.0,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,,40,United-States,>50K
44,,326232.0,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,2547.0,50,United-States,>50K
43,,115806.0,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2547.0,40,United-States,>50K
51,Private,115066.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547.0,40,United-States,>50K
43,,289669.0,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,,40,United-States,>50K
71,?,100820.0,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,2489.0,15,United-States,<=50K
48,,121253.0,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472.0,70,United-States,>50K
71,Private,110380.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,2467.0,52,United-States,<=50K
73,Self-emp-not-inc,233882.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457.0,40,Vietnam,<=50K
68,?,,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,2457.0,40,United-States,<=50K
67,?,174995.0,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,,40,United-States,<=50K
40,,335549.0,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,,45,United-States,>50K
50,,237729.0,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,2444.0,72,United-States,>50K
51,State-gov,68898.0,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,2444.0,39,United-States,>50K
42,Private,,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444.0,40,United-States,>50K
39,Private,141584.0,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,2444.0,45,United-States,>50K
32,Private,207668.0,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,0,2444.0,50,United-States,>50K
53,Private,,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,0,,45,United-States,>50K
40,Local-gov,147372.0,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2444.0,40,United-States,>50K
38,,237608.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,,45,United-States,>50K
33,Private,194901.0,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,0,2444.0,42,United-States,>50K
43,Private,155106.0,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0,,70,United-States,>50K
50,Self-emp-inc,121441.0,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2444.0,40,United-States,>50K
44,,162028.0,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,,6,United-States,>50K
51,Self-emp-not-inc,,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415.0,40,China,>50K
41,,132222.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415.0,40,United-States,>50K
60,,226355.0,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2415.0,70,?,>50K
37,Private,329980.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,,60,United-States,>50K
55,Self-emp-inc,124137.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415.0,35,Greece,>50K
39,Self-emp-inc,,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,,60,United-States,>50K
42,Self-emp-inc,187702.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,,60,United-States,>50K
49,Private,199029.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,,55,United-States,>50K
47,,145290.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415.0,50,United-States,>50K
41,Local-gov,,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415.0,45,United-States,>50K
55,Self-emp-inc,227856.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,,50,United-States,>50K
39,,,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,,65,United-States,>50K
42,Private,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,,60,United-States,>50K
41,,27187.0,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,2415.0,12,United-States,>50K
