age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
90.0,,77053.0,HS-grad,,Widowed,,,White,Female,,4356.0,40.0,United-States,<=50K
82.0,,132870.0,HS-grad,9.0,,,Not-in-family,,Female,0.0,4356.0,18.0,,<=50K
,?,186061.0,,,Widowed,?,Unmarried,Black,Female,0.0,4356.0,40.0,United-States,<=50K
54.0,Private,140359.0,7th-8th,4.0,,Machine-op-inspct,,White,,0.0,3900.0,40.0,United-States,<=50K
41.0,Private,,Some-college,10.0,Separated,Prof-specialty,Own-child,White,Female,0.0,3900.0,,United-States,<=50K
34.0,,216864.0,HS-grad,,Divorced,,Unmarried,White,Female,0.0,3770.0,45.0,United-States,<=50K
38.0,Private,150601.0,,6.0,Separated,,Unmarried,,Male,0.0,3770.0,,United-States,<=50K
74.0,,88638.0,Doctorate,16.0,Never-married,Prof-specialty,,White,Female,0.0,3683.0,20.0,,>50K
68.0,Federal-gov,422013.0,HS-grad,9.0,,Prof-specialty,Not-in-family,,Female,0.0,3683.0,40.0,United-States,<=50K
41.0,Private,70037.0,Some-college,,,Craft-repair,Unmarried,White,Male,0.0,3004.0,60.0,?,
,,172274.0,,16.0,Divorced,Prof-specialty,Unmarried,Black,,,,,,>50K
38.0,,164526.0,Prof-school,,Never-married,Prof-specialty,Not-in-family,White,,0.0,2824.0,45.0,United-States,>50K
52.0,Private,,Bachelors,13.0,,,Not-in-family,White,,0.0,,20.0,United-States,
32.0,Private,136204.0,Masters,,Separated,Exec-managerial,Not-in-family,White,Male,0.0,,55.0,United-States,>50K
51.0,?,172175.0,Doctorate,16.0,Never-married,,Not-in-family,White,Male,0.0,,,United-States,
46.0,Private,45363.0,Prof-school,15.0,,Prof-specialty,Not-in-family,White,,0.0,2824.0,,,>50K
45.0,Private,172822.0,,,,Transport-moving,Not-in-family,White,,0.0,2824.0,76.0,United-States,>50K
57.0,Private,,Masters,,Divorced,,,White,,,2824.0,50.0,United-States,>50K
22.0,,,Assoc-acdm,12.0,Never-married,,Not-in-family,Black,Male,0.0,2824.0,40.0,?,>50K
