age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
90.0,?,77053.0,HS-grad,9.0,,?,Not-in-family,White,Female,0.0,,40.0,United-States,<=50K
82.0,Private,132870.0,HS-grad,9.0,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,4356.0,18.0,United-States,<=50K
66.0,?,186061.0,Some-college,10.0,Widowed,?,Unmarried,,Female,,4356.0,40.0,United-States,<=50K
54.0,,140359.0,7th-8th,4.0,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,,40.0,United-States,
41.0,Private,,Some-college,10.0,Separated,Prof-specialty,Own-child,White,Female,0.0,3900.0,40.0,United-States,<=50K
,Private,216864.0,,9.0,Divorced,Other-service,Unmarried,White,Female,,3770.0,45.0,United-States,<=50K
38.0,Private,150601.0,10th,6.0,Separated,Adm-clerical,Unmarried,White,Male,0.0,3770.0,40.0,United-States,<=50K
,State-gov,88638.0,,16.0,Never-married,Prof-specialty,Other-relative,White,Female,0.0,3683.0,20.0,United-States,>50K
68.0,Federal-gov,,,9.0,Divorced,Prof-specialty,Not-in-family,White,Female,,3683.0,,United-States,<=50K
41.0,Private,70037.0,Some-college,10.0,Never-married,Craft-repair,Unmarried,White,Male,0.0,3004.0,60.0,?,>50K
45.0,Private,172274.0,,16.0,Divorced,Prof-specialty,Unmarried,Black,Female,0.0,3004.0,35.0,United-States,>50K
,Self-emp-not-inc,164526.0,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,,United-States,
52.0,Private,129177.0,Bachelors,13.0,Widowed,Other-service,Not-in-family,White,Female,0.0,2824.0,20.0,United-States,>50K
32.0,Private,136204.0,Masters,14.0,Separated,Exec-managerial,Not-in-family,White,Male,0.0,2824.0,55.0,United-States,>50K
51.0,?,172175.0,Doctorate,16.0,Never-married,?,Not-in-family,White,,,2824.0,40.0,,>50K
46.0,Private,45363.0,Prof-school,15.0,,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,40.0,United-States,>50K
45.0,Private,172822.0,11th,7.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,2824.0,76.0,United-States,>50K
57.0,Private,,Masters,14.0,Divorced,Exec-managerial,Not-in-family,White,Male,,2824.0,,United-States,>50K
22.0,,119592.0,Assoc-acdm,12.0,Never-married,Handlers-cleaners,,Black,,0.0,2824.0,40.0,?,
34.0,Private,203034.0,Bachelors,,Separated,Sales,Not-in-family,White,Male,0.0,2824.0,50.0,United-States,>50K
37.0,Private,188774.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,2824.0,40.0,United-States,
29.0,Private,77009.0,11th,7.0,Separated,Sales,Not-in-family,White,Female,0.0,2754.0,42.0,United-States,<=50K
61.0,Private,29059.0,,9.0,Divorced,Sales,Unmarried,White,Female,0.0,2754.0,25.0,United-States,<=50K
,,,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,,40.0,United-States,<=50K
61.0,?,135285.0,HS-grad,,Married-civ-spouse,?,Husband,White,Male,0.0,,32.0,,<=50K
21.0,Private,34310.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2603.0,40.0,,<=50K
33.0,Private,228696.0,1st-4th,2.0,,Craft-repair,Not-in-family,White,Male,0.0,2603.0,32.0,Mexico,<=50K
49.0,Private,122066.0,5th-6th,3.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,2603.0,40.0,Greece,
37.0,Self-emp-inc,107164.0,10th,,Never-married,Transport-moving,Not-in-family,White,Male,,2559.0,50.0,,>50K
38.0,Private,175360.0,10th,,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,,90.0,United-States,>50K
23.0,Private,44064.0,Some-college,10.0,Separated,Other-service,Not-in-family,White,,0.0,,40.0,United-States,>50K
59.0,Self-emp-inc,107287.0,10th,6.0,Widowed,Exec-managerial,Unmarried,White,Female,0.0,2559.0,50.0,United-States,>50K
52.0,Private,198863.0,Prof-school,15.0,Divorced,Exec-managerial,Not-in-family,,Male,0.0,,60.0,United-States,>50K
,Private,123011.0,Bachelors,13.0,Divorced,,Not-in-family,White,Male,0.0,2559.0,50.0,United-States,>50K
60.0,Self-emp-not-inc,205246.0,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,Black,Male,0.0,2559.0,50.0,United-States,>50K
63.0,,39181.0,Doctorate,16.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,2559.0,60.0,United-States,
53.0,Private,149650.0,,9.0,Never-married,,Not-in-family,White,Male,0.0,,48.0,United-States,
51.0,Private,197163.0,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,2559.0,50.0,,>50K
37.0,Self-emp-not-inc,137527.0,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,White,,0.0,2559.0,,United-States,>50K
54.0,Private,161691.0,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,2559.0,40.0,,>50K
44.0,Private,326232.0,Bachelors,13.0,Divorced,Exec-managerial,,White,,0.0,2547.0,50.0,United-States,>50K
43.0,Private,115806.0,Masters,,Divorced,Exec-managerial,,White,Female,,2547.0,40.0,United-States,>50K
51.0,Private,115066.0,Some-college,10.0,Divorced,,,White,Female,0.0,2547.0,40.0,,>50K
43.0,,289669.0,Masters,14.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,2547.0,40.0,United-States,>50K
71.0,,100820.0,HS-grad,,Married-civ-spouse,?,Husband,White,Male,0.0,2489.0,15.0,United-States,<=50K
48.0,,,Bachelors,13.0,Married-spouse-absent,Sales,Unmarried,,Female,0.0,2472.0,70.0,United-States,>50K
71.0,Private,110380.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2467.0,52.0,United-States,<=50K
73.0,Self-emp-not-inc,233882.0,HS-grad,9.0,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0.0,2457.0,40.0,Vietnam,<=50K
68.0,,192052.0,Some-college,,Married-civ-spouse,?,Wife,White,Female,0.0,2457.0,,,<=50K
67.0,?,174995.0,Some-college,10.0,Married-civ-spouse,?,Husband,,Male,0.0,2457.0,40.0,United-States,<=50K
40.0,,335549.0,Prof-school,,,Prof-specialty,Not-in-family,,Male,0.0,2444.0,45.0,,>50K
50.0,Private,,HS-grad,,Widowed,Sales,Not-in-family,White,,0.0,2444.0,72.0,United-States,>50K
51.0,State-gov,68898.0,,11.0,Divorced,Tech-support,Not-in-family,White,Male,,2444.0,39.0,,>50K
42.0,,,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,,Female,0.0,,40.0,United-States,>50K
39.0,Private,141584.0,Masters,14.0,Never-married,,Not-in-family,White,Male,0.0,2444.0,45.0,United-States,>50K
32.0,Private,207668.0,Bachelors,13.0,Never-married,Exec-managerial,Other-relative,White,Male,0.0,2444.0,50.0,,
53.0,Private,313243.0,Some-college,10.0,,Craft-repair,Not-in-family,White,Male,0.0,2444.0,45.0,,>50K
40.0,Local-gov,147372.0,Some-college,10.0,,Protective-serv,Not-in-family,,Male,,2444.0,40.0,,>50K
38.0,Private,237608.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Female,,2444.0,45.0,,
33.0,Private,194901.0,Assoc-voc,11.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,2444.0,42.0,United-States,
43.0,Private,155106.0,Assoc-acdm,12.0,Divorced,Craft-repair,Not-in-family,,Male,0.0,2444.0,,United-States,>50K
50.0,Self-emp-inc,121441.0,11th,7.0,Never-married,Exec-managerial,Other-relative,White,Male,,2444.0,40.0,United-States,>50K
,Private,,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,2415.0,6.0,United-States,>50K
51.0,Self-emp-not-inc,160724.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0.0,2415.0,40.0,China,>50K
,Private,132222.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,,White,Male,0.0,2415.0,40.0,United-States,>50K
,Self-emp-inc,226355.0,Assoc-voc,11.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,2415.0,70.0,?,
37.0,Private,329980.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K
55.0,Self-emp-inc,124137.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,35.0,Greece,>50K
39.0,Self-emp-inc,329980.0,Bachelors,13.0,,Sales,Husband,White,Male,0.0,2415.0,,,>50K
42.0,Self-emp-inc,187702.0,Prof-school,,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K
49.0,Private,199029.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,,United-States,>50K
47.0,,145290.0,HS-grad,,,Exec-managerial,Husband,White,Male,0.0,2415.0,50.0,United-States,>50K
41.0,Local-gov,297248.0,,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,45.0,United-States,>50K
,Self-emp-inc,227856.0,Bachelors,13.0,,Exec-managerial,Husband,White,Male,0.0,2415.0,50.0,United-States,>50K
39.0,Private,179731.0,Masters,14.0,,Exec-managerial,,White,Female,0.0,2415.0,65.0,United-States,
42.0,Private,154374.0,,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,60.0,,>50K
41.0,,27187.0,Assoc-voc,11.0,Married-civ-spouse,,Husband,White,Male,,,12.0,United-States,>50K
46.0,Private,326857.0,,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,65.0,United-States,>50K
40.0,,160369.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,,0.0,2415.0,45.0,United-States,>50K
32.0,Private,396745.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,,,Male,0.0,2415.0,48.0,,>50K
41.0,Self-emp-inc,151089.0,,10.0,,Exec-managerial,Husband,,Male,0.0,2415.0,55.0,United-States,>50K
60.0,Self-emp-inc,336188.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,,0.0,2415.0,80.0,,
31.0,Private,279015.0,,14.0,Married-civ-spouse,Exec-managerial,Husband,White,,0.0,2415.0,70.0,,
58.0,Self-emp-not-inc,43221.0,Some-college,10.0,,Farming-fishing,Husband,White,Male,0.0,2415.0,40.0,United-States,>50K
37.0,Self-emp-inc,30529.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,,United-States,>50K
44.0,Self-emp-not-inc,201742.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,50.0,United-States,>50K
,Self-emp-not-inc,218490.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,50.0,?,>50K
,,156996.0,Prof-school,15.0,Married-civ-spouse,,Husband,,Male,0.0,2415.0,55.0,?,
55.0,Self-emp-inc,298449.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,,Male,0.0,2415.0,50.0,United-States,>50K
44.0,Self-emp-inc,,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,55.0,United-States,>50K
39.0,Private,198654.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,,2415.0,67.0,India,
46.0,Self-emp-not-inc,,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,,,>50K
39.0,Private,348521.0,Some-college,10.0,,Farming-fishing,Husband,White,Male,0.0,,99.0,United-States,>50K
62.0,Self-emp-inc,56248.0,Bachelors,13.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,,2415.0,60.0,United-States,>50K
31.0,Self-emp-not-inc,252752.0,HS-grad,9.0,Married-civ-spouse,Other-service,,,Female,,2415.0,,United-States,>50K
46.0,Private,192963.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0.0,2415.0,35.0,Philippines,>50K
46.0,Self-emp-not-inc,198759.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,80.0,United-States,>50K
39.0,Self-emp-inc,143123.0,Assoc-voc,11.0,Married-civ-spouse,,Husband,White,Male,0.0,2415.0,40.0,United-States,>50K
39.0,Private,237713.0,Prof-school,15.0,Married-civ-spouse,Sales,Husband,,Male,0.0,2415.0,99.0,United-States,>50K
59.0,Private,81929.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,,Male,0.0,2415.0,,United-States,>50K
50.0,,167793.0,,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,60.0,,>50K
46.0,Private,456062.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,55.0,United-States,
