age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
,,77053.0,HS-grad,9.0,,,,White,Female,0.0,4356.0,40.0,United-States,<=50K
82.0,Private,132870.0,HS-grad,,Widowed,,,White,Female,0.0,4356.0,18.0,United-States,<=50K
66.0,?,186061.0,Some-college,10.0,Widowed,?,Unmarried,Black,Female,0.0,4356.0,40.0,United-States,<=50K
54.0,Private,140359.0,7th-8th,4.0,Divorced,Machine-op-inspct,,White,,0.0,3900.0,,United-States,<=50K
41.0,Private,,Some-college,10.0,Separated,Prof-specialty,Own-child,,,0.0,3900.0,40.0,United-States,<=50K
34.0,,,,9.0,Divorced,,Unmarried,White,Female,0.0,,45.0,United-States,<=50K
38.0,Private,150601.0,10th,6.0,Separated,Adm-clerical,,White,,0.0,3770.0,40.0,,<=50K
74.0,State-gov,88638.0,,16.0,Never-married,Prof-specialty,Other-relative,White,Female,,,20.0,United-States,>50K
,Federal-gov,,HS-grad,9.0,Divorced,Prof-specialty,,White,Female,0.0,3683.0,,United-States,
41.0,Private,70037.0,Some-college,10.0,Never-married,Craft-repair,Unmarried,White,Male,0.0,3004.0,60.0,?,>50K
45.0,,,Doctorate,16.0,Divorced,,,Black,Female,0.0,3004.0,,United-States,>50K
38.0,Self-emp-not-inc,164526.0,Prof-school,,,,Not-in-family,White,,,2824.0,45.0,United-States,>50K
52.0,Private,129177.0,Bachelors,13.0,Widowed,Other-service,Not-in-family,White,Female,0.0,,,United-States,>50K
32.0,Private,136204.0,Masters,14.0,,Exec-managerial,Not-in-family,White,Male,0.0,2824.0,55.0,,>50K
51.0,,,,16.0,Never-married,?,Not-in-family,White,,0.0,2824.0,,United-States,>50K
46.0,Private,,Prof-school,,,,,,Male,0.0,2824.0,40.0,United-States,>50K
45.0,Private,172822.0,11th,7.0,Divorced,Transport-moving,Not-in-family,,Male,0.0,2824.0,76.0,United-States,>50K
57.0,Private,317847.0,Masters,14.0,Divorced,Exec-managerial,Not-in-family,,Male,0.0,,50.0,United-States,>50K
22.0,Private,119592.0,Assoc-acdm,12.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,2824.0,40.0,,
34.0,Private,203034.0,,13.0,Separated,Sales,Not-in-family,White,Male,0.0,2824.0,50.0,United-States,>50K
