age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
9000.0,?,77053.0,HS-grad,-90.0,Widowed,,Not-in-family,White,Female,0.0,4356.0,40.0,United-States,<=50K
,Private,132870.0,HS-grad,9.0,Widowed,Exec-managerial,Not-in-family,,Female,0.0,4356.0,18.0,United-States,<=50K
66.0,?,186061.0,Some-college,10.0,Widowed,?,Unmarried,Black,Female,0.0,4356.0,40.0,United-States,<=50K
540.0,Private,140359.0,7th-8th,4.0,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,3900.0,40.0,United-States,<=50K
41.0,Private,264663.0,Some-college,,,,Own-child,White,Female,0.0,,40.0,,
34.0,Private,21686400.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,3770.0,45.0,United-States,<=50K
,Private,150601.0,10th,6.0,,Adm-clerical,,White,Male,0.0,3770.0,40.0,United-States,<=50K
74.0,State-gov,,Doctorate,1600.0,Never-married,Prof-specialty,Other-relative,White,Female,,3683.0,20.0,United-States,>50K
68.0,Federal-gov,422013.0,HS-grad,,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,3683.0,40.0,United-States,
41.0,Private,70037.0,Some-college,10.0,Never-married,,,White,Male,0.0,3004.0,60.0,?,>50K
-450.0,Private,172274.0,Doctorate,,Divorced,Prof-specialty,,Black,Female,0.0,3004.0,35.0,United-States,>50K
38.0,Self-emp-not-inc,164526.0,,15.0,Never-married,Prof-specialty,Not-in-family,,Male,0.0,2824.0,45.0,United-States,>50K
52.0,Private,,Bachelors,13.0,Widowed,Other-service,,White,Female,0.0,2824.0,20.0,United-States,>50K
32.0,Private,136204.0,Masters,140.0,Separated,,Not-in-family,White,Male,0.0,2824.0,5500.0,,>50K
51.0,?,172175.0,Doctorate,16.0,Never-married,?,Not-in-family,White,Male,0.0,2824.0,40.0,United-States,>50K
46.0,Private,,Prof-school,15.0,,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,40.0,United-States,>50K
45.0,Private,172822.0,,7.0,Divorced,,Not-in-family,White,Male,0.0,2824.0,76.0,United-States,>50K
57.0,Private,317847.0,Masters,14.0,Divorced,Exec-managerial,Not-in-family,White,Male,,2824.0,50.0,United-States,>50K
22.0,Private,119592.0,Assoc-acdm,12.0,,Handlers-cleaners,Not-in-family,Black,Male,,2824.0,40.0,?,>50K
,Private,203034.0,Bachelors,13.0,Separated,Sales,Not-in-family,White,,,2824.0,50.0,United-States,>50K
37.0,Private,,Bachelors,13.0,,Exec-managerial,Not-in-family,,Male,0.0,282400.0,-400.0,United-States,>50K
-290.0,Private,77009.0,,7.0,Separated,Sales,Not-in-family,White,Female,,2754.0,42.0,United-States,
6100.0,Private,29059.0,,9.0,Divorced,Sales,Unmarried,White,Female,,2754.0,25.0,United-States,<=50K
51.0,Private,153870.0,Some-college,10.0,Married-civ-spouse,Transport-moving,,White,Male,,2603.0,40.0,United-States,<=50K
61.0,?,-1352850.0,HS-grad,-90.0,,?,Husband,White,Male,0.0,2603.0,32.0,United-States,<=50K
21.0,Private,34310.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,,Male,,2603.0,40.0,United-States,<=50K
33.0,Private,-2286960.0,1st-4th,2.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,2603.0,32.0,Mexico,<=50K
49.0,,122066.0,5th-6th,3.0,,Other-service,Husband,White,Male,0.0,260300.0,40.0,Greece,
37.0,Self-emp-inc,107164.0,,-60.0,Never-married,,Not-in-family,White,,,,,United-States,>50K
38.0,Private,175360.0,10th,6.0,Never-married,,Not-in-family,White,Male,0.0,2559.0,90.0,United-States,>50K
23.0,Private,44064.0,Some-college,10.0,Separated,Other-service,Not-in-family,White,Male,0.0,2559.0,40.0,United-States,>50K
-590.0,Self-emp-inc,107287.0,,6.0,,Exec-managerial,Unmarried,White,Female,0.0,2559.0,50.0,United-States,>50K
5200.0,Private,198863.0,Prof-school,15.0,,Exec-managerial,Not-in-family,White,Male,0.0,2559.0,60.0,United-States,>50K
,Private,123011.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,2559.0,50.0,United-States,
60.0,Self-emp-not-inc,205246.0,HS-grad,,Never-married,Exec-managerial,Not-in-family,Black,Male,0.0,2559.0,50.0,United-States,>50K
63.0,Federal-gov,39181.0,Doctorate,1600.0,Divorced,Exec-managerial,,White,Female,0.0,2559.0,60.0,United-States,>50K
53.0,Private,149650.0,HS-grad,9.0,Never-married,,Not-in-family,White,Male,,2559.0,480.0,United-States,>50K
51.0,Private,197163.0,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,,Female,0.0,2559.0,50.0,United-States,>50K
37.0,Self-emp-not-inc,137527.0,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,,Female,0.0,2559.0,,United-States,>50K
54.0,Private,1616910.0,Masters,14.0,Divorced,Prof-specialty,Not-in-family,,Female,0.0,2559.0,40.0,United-States,>50K
44.0,,32623200.0,Bachelors,13.0,Divorced,Exec-managerial,Unmarried,White,,0.0,2547.0,50.0,United-States,>50K
43.0,Private,115806.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,2547.0,40.0,United-States,>50K
51.0,Private,115066.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,2547.0,40.0,United-States,>50K
