age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
9000.0,?,77053.0,HS-grad,90.0,Widowed,?,,White,,,43560.0,40.0,,<=50K
82.0,,132870.0,HS-grad,9.0,,Exec-managerial,Not-in-family,,Female,0.0,4356.0,18.0,United-States,<=50K
66.0,?,186061.0,Some-college,,Widowed,?,,Black,Female,,4356.0,40.0,United-States,
54.0,Private,140359.0,7th-8th,4.0,Divorced,Machine-op-inspct,Unmarried,,Female,,3900.0,,United-States,<=50K
41.0,Private,264663.0,,10.0,Separated,,Own-child,White,,0.0,,,United-States,<=50K
34.0,Private,216864.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,,0.0,,,United-States,<=50K
38.0,,,10th,,,Adm-clerical,Unmarried,White,,,377000.0,,,<=50K
74.0,State-gov,,Doctorate,160.0,Never-married,Prof-specialty,,,,0.0,,,United-States,
-680.0,,-4220130.0,HS-grad,9.0,Divorced,Prof-specialty,Not-in-family,,,0.0,3683.0,40.0,,<=50K
41.0,Private,70037.0,Some-college,100.0,Never-married,Craft-repair,,White,,0.0,,6000.0,,>50K
45.0,Private,,Doctorate,,Divorced,,Unmarried,Black,Female,,3004.0,35.0,,
38.0,Self-emp-not-inc,164526.0,Prof-school,1500.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,4500.0,United-States,>50K
52.0,Private,129177.0,Bachelors,13.0,Widowed,Other-service,Not-in-family,,Female,0.0,2824.0,20.0,United-States,>50K
32.0,,1362040.0,Masters,1400.0,,Exec-managerial,Not-in-family,White,Male,,-28240.0,550.0,United-States,>50K
,?,,Doctorate,16.0,Never-married,?,Not-in-family,White,Male,,282400.0,40.0,United-States,>50K
46.0,Private,45363.0,Prof-school,,Divorced,,Not-in-family,White,Male,0.0,,40.0,United-States,>50K
45.0,,172822.0,11th,7.0,Divorced,Transport-moving,Not-in-family,White,Male,,2824.0,76.0,United-States,>50K
,Private,,Masters,14.0,Divorced,Exec-managerial,Not-in-family,White,,0.0,,,,>50K
22.0,Private,,Assoc-acdm,12.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,,40.0,?,>50K
34.0,Private,-2030340.0,Bachelors,130.0,Separated,,Not-in-family,,Male,0.0,282400.0,-500.0,United-States,>50K
37.0,Private,188774.0,Bachelors,,Never-married,Exec-managerial,,White,,0.0,2824.0,40.0,,
29.0,,77009.0,11th,,Separated,Sales,,White,,,2754.0,42.0,United-States,<=50K
610.0,,29059.0,HS-grad,9.0,,,Unmarried,White,Female,0.0,2754.0,25.0,United-States,<=50K
51.0,Private,153870.0,Some-college,10.0,,Transport-moving,Husband,White,Male,0.0,2603.0,4000.0,United-States,
61.0,?,135285.0,,9.0,,,,White,Male,0.0,2603.0,32.0,United-States,
21.0,,34310.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,,40.0,United-States,<=50K
33.0,Private,228696.0,1st-4th,200.0,Married-civ-spouse,Craft-repair,,White,Male,0.0,2603.0,-320.0,Mexico,
,Private,12206600.0,5th-6th,3.0,Married-civ-spouse,Other-service,Husband,White,,0.0,26030.0,40.0,Greece,<=50K
,Self-emp-inc,107164.0,,6.0,Never-married,Transport-moving,Not-in-family,White,,0.0,,50.0,United-States,
38.0,Private,,10th,6.0,Never-married,Prof-specialty,Not-in-family,,Male,0.0,2559.0,90.0,United-States,>50K
23.0,Private,,Some-college,10.0,Separated,Other-service,Not-in-family,,Male,0.0,255900.0,40.0,United-States,
59.0,Self-emp-inc,,10th,6.0,Widowed,Exec-managerial,Unmarried,White,Female,0.0,2559.0,50.0,United-States,>50K
52.0,Private,-1988630.0,Prof-school,15.0,Divorced,,Not-in-family,White,Male,0.0,2559.0,60.0,United-States,
510.0,,,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,,Male,,2559.0,500.0,United-States,
60.0,Self-emp-not-inc,205246.0,HS-grad,,Never-married,Exec-managerial,Not-in-family,,Male,0.0,2559.0,,,>50K
6300.0,Federal-gov,39181.0,Doctorate,16.0,Divorced,Exec-managerial,Not-in-family,,Female,0.0,2559.0,60.0,United-States,>50K
-530.0,Private,149650.0,HS-grad,9.0,,Sales,,,Male,,,,,
51.0,Private,197163.0,,,,Prof-specialty,Not-in-family,White,Female,0.0,2559.0,,United-States,
,Self-emp-not-inc,,,16.0,,,,White,Female,0.0,2559.0,,,>50K
-540.0,Private,161691.0,Masters,1400.0,Divorced,Prof-specialty,,White,,0.0,255900.0,40.0,,>50K
,Private,3262320.0,Bachelors,13.0,Divorced,Exec-managerial,Unmarried,White,Male,0.0,2547.0,50.0,United-States,>50K
43.0,Private,-1158060.0,Masters,,Divorced,Exec-managerial,,White,Female,,2547.0,,,>50K
5100.0,Private,115066.0,Some-college,10.0,Divorced,,,White,Female,0.0,2547.0,,United-States,>50K
4300.0,Private,,Masters,,Divorced,Prof-specialty,Unmarried,White,,,2547.0,40.0,,>50K
71.0,?,100820.0,HS-grad,9.0,Married-civ-spouse,?,,White,Male,,,150.0,,
48.0,,,Bachelors,,Married-spouse-absent,,Unmarried,White,Female,0.0,,70.0,United-States,>50K
71.0,Private,,HS-grad,9.0,Married-civ-spouse,Sales,,White,Male,0.0,2467.0,,United-States,<=50K
73.0,Self-emp-not-inc,2338820.0,HS-grad,9.0,,,,Asian-Pac-Islander,Male,0.0,2457.0,40.0,Vietnam,<=50K
-680.0,,192052.0,Some-college,,Married-civ-spouse,?,Wife,White,Female,,2457.0,400.0,United-States,<=50K
-670.0,?,174995.0,,10.0,Married-civ-spouse,?,Husband,White,Male,,2457.0,40.0,United-States,
40.0,,,Prof-school,15.0,,Prof-specialty,Not-in-family,White,Male,0.0,2444.0,45.0,United-States,>50K
50.0,,237729.0,,9.0,Widowed,,,White,Female,0.0,,72.0,United-States,
,,,Assoc-voc,11.0,,,,White,Male,,2444.0,39.0,United-States,>50K
42.0,Private,,Some-college,10.0,,Exec-managerial,Not-in-family,White,,0.0,,-400.0,,
,Private,141584.0,,,Never-married,,Not-in-family,White,Male,,-24440.0,,United-States,>50K
,Private,207668.0,,,Never-married,Exec-managerial,Other-relative,White,Male,0.0,2444.0,50.0,United-States,
,,31324300.0,Some-college,10.0,,Craft-repair,Not-in-family,White,Male,0.0,244400.0,45.0,United-States,
40.0,Local-gov,,Some-college,100.0,Never-married,Protective-serv,Not-in-family,White,,0.0,2444.0,40.0,United-States,>50K
