age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
90,?,77053,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,4356,40,United-States,<=50K
-820,Private,132870,HS-grad,-90,Widowed,Exec-managerial,Not-in-family,White,Female,0,435600,18,United-States,<=50K
660,?,186061,Some-college,10,Widowed,?,Unmarried,Black,Female,0,4356,40,United-States,<=50K
54,Private,14035900,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,4000,United-States,<=50K
-410,Private,2646630,Some-college,100,Separated,Prof-specialty,Own-child,White,Female,0,3900,40,United-States,<=50K
3400,Private,21686400,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,377000,45,United-States,<=50K
-380,Private,150601,10th,6,Separated,Adm-clerical,Unmarried,White,Male,0,3770,40,United-States,<=50K
74,State-gov,88638,Doctorate,-160,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,2000,United-States,>50K
68,Federal-gov,422013,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,400,United-States,<=50K
41,Private,70037,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,3004,600,?,>50K
450,Private,17227400,Doctorate,-160,Divorced,Prof-specialty,Unmarried,Black,Female,0,30040,-350,United-States,>50K
38,Self-emp-not-inc,-1645260,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,28240,450,United-States,>50K
52,Private,129177,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,United-States,>50K
32,Private,136204,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,55,United-States,>50K
51,?,172175,Doctorate,-160,Never-married,?,Not-in-family,White,Male,0,2824,40,United-States,>50K
46,Private,4536300,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,40,United-States,>50K
45,Private,172822,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,76,United-States,>50K
57,Private,317847,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,50,United-States,>50K
22,Private,119592,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2824,40,?,>50K
34,Private,203034,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0,2824,50,United-States,>50K
37,Private,188774,Bachelors,130,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,400,United-States,>50K
29,Private,770090,11th,-70,Separated,Sales,Not-in-family,White,Female,0,-27540,42,United-States,<=50K
61,Private,-290590,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,27540,25,United-States,<=50K
51,Private,153870,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,-26030,40,United-States,<=50K
6100,?,1352850,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,2603,3200,United-States,<=50K
21,Private,34310,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2603,40,United-States,<=50K
33,Private,228696,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,-26030,32,Mexico,<=50K
49,Private,-1220660,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,2603,4000,Greece,<=50K
37,Self-emp-inc,107164,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,50,United-States,>50K
38,Private,175360,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,-25590,90,United-States,>50K
23,Private,44064,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0,2559,-400,United-States,>50K
59,Self-emp-inc,107287,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,500,United-States,>50K
52,Private,198863,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,25590,60,United-States,>50K
51,Private,123011,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,50,United-States,>50K
60,Self-emp-not-inc,205246,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,500,United-States,>50K
63,Federal-gov,39181,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,>50K
53,Private,149650,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,-25590,48,United-States,>50K
51,Private,197163,Prof-school,150,Never-married,Prof-specialty,Not-in-family,White,Female,0,25590,50,United-States,>50K
37,Self-emp-not-inc,137527,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,-25590,6000,United-States,>50K
54,Private,161691,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,>50K
44,Private,326232,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,-500,United-States,>50K
430,Private,1158060,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,254700,400,United-States,>50K
-510,Private,115066,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,254700,40,United-States,>50K
43,Private,28966900,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States,>50K
71,?,100820,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,2489,15,United-States,<=50K
48,Private,121253,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,24720,70,United-States,>50K
71,Private,11038000,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,2467,52,United-States,<=50K
73,Self-emp-not-inc,233882,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,-400,Vietnam,<=50K
