country,year,iso_code,population,gdp,gdp_per_capita,poverty_rate,gini_index,income_top1,income_top10,income_bottom50
Afghanistan,,AFG,13169313.0,15329836000.0,1164.06,,,16.22,41.94,17.17
Afghanistan,,AFG,11937586.0,15645344000.0,1310.6,,,16.22,,17.17
Afghanistan,1982.0,AFG,10991380.0,15980410000.0,1453.9,,,16.22,41.94,17.17
Afghanistan,1983.0,AFG,10917985.0,16755333000.0,1534.65,,,16.22,41.94,17.17
,1984.0,AFG,11190222.0,17072153000.0,1525.63,,,16.22,41.94,17.17
Afghanistan,1985.0,AFG,11426855.0,17108480000.0,1497.22,,,16.22,41.94,17.17
Afghanistan,1986.0,AFG,11420074.0,17641344000.0,1544.77,,,,41.94,17.17
Afghanistan,1987.0,AFG,11387822.0,15810816000.0,1388.4,,,,41.94,17.17
Afghanistan,1988.0,AFG,11523299.0,14499069000.0,1258.24,,,16.22,41.94,17.17
Afghanistan,1989.0,AFG,11874089.0,,1136.04,,,16.22,,17.17
Afghanistan,,AFG,12045664.0,13065984000.0,1084.7,,,,41.94,17.17
Afghanistan,1991.0,AFG,12238879.0,12047361847.0,,,,16.22,41.94,17.17
Afghanistan,1992.0,AFG,13278983.0,12677539626.0,954.71,,,16.22,41.94,17.17
Afghanistan,1993.0,AFG,14943175.0,9834582315.0,658.13,,,16.22,41.94,17.17
Afghanistan,1994.0,AFG,16250800.0,7919856426.0,487.35,,,16.22,41.94,17.17
Afghanistan,1995.0,,17065837.0,12307525468.0,721.18,,,16.22,41.94,17.17
Afghanistan,1996.0,AFG,17763266.0,12070125316.0,679.5,,,16.22,41.94,17.17
Afghanistan,1997.0,AFG,18452100.0,11850752863.0,,,,,41.94,
Afghanistan,1998.0,AFG,19159996.0,11692171422.0,610.24,,,16.22,41.94,17.17
Afghanistan,1999.0,AFG,,11517315926.0,579.11,,,16.22,41.94,
Afghanistan,2000.0,AFG,20130334.0,11283794151.0,560.54,,,16.22,41.94,17.17
Afghanistan,2001.0,,20284303.0,11021272927.0,543.34,,,16.22,,17.17
Afghanistan,2002.0,AFG,21378123.0,18804871508.0,879.63,,,16.22,41.94,17.17
Afghanistan,2003.0,AFG,,21074343420.0,927.04,,,,41.94,17.17
Afghanistan,2004.0,AFG,23560656.0,22332570533.0,947.88,,,16.22,41.94,17.17
Afghanistan,2005.0,AFG,24404575.0,25397686814.0,1040.69,,,16.22,41.94,17.17
Afghanistan,2006.0,AFG,25424100.0,28704399925.0,1129.02,,,16.22,41.94,17.17
,2007.0,AFG,25909852.0,34507529735.0,1331.83,,,,,17.17
Afghanistan,2008.0,AFG,26482631.0,36561043230.0,1380.57,,,16.22,,17.17
