country,year,iso_code,population,gdp,gdp_per_capita,poverty_rate,gini_index,income_top1,income_top10,income_bottom50
Afghanistan,1980.0,AFG,13169313.0,15329836000.0,1164.06,,,16.22,41.94,17.17
Afghanistan,1981.0,AFG,11937586.0,15645344000.0,1310.6,,,16.22,41.94,17.17
Afghanistan,1982.0,AFG,10991380.0,15980410000.0,1453.9,,,16.22,41.94,17.17
Afghanistan,1983.0,AFG,10917985.0,16755333000.0,1534.65,,,16.22,41.94,17.17
Afghanistan,1984.0,AFG,11190222.0,17072153000.0,1525.63,,,16.22,41.94,17.17
Afghanistan,1985.0,AFG,11426855.0,17108480000.0,1497.22,,,16.22,41.94,17.17
Afghanistan,1986.0,AFG,11420074.0,17641344000.0,1544.77,,,16.22,41.94,17.17
Afghanistan,1987.0,AFG,11387822.0,15810816000.0,1388.4,,,16.22,41.94,17.17
Afghanistan,,AFG,,14499069000.0,1258.24,,,,,17.17
Afghanistan,1989.0,AFG,11874089.0,13489497000.0,1136.04,,,16.22,41.94,17.17
Afghanistan,1990.0,AFG,12045664.0,13065984000.0,1084.7,,,16.22,41.94,17.17
Afghanistan,19910.0,AFG,-122388790.0,-1204736184700.0,984.35,,,16.22,41.94,17.17
Afghanistan,1992.0,AFG,13278983.0,12677539626.0,954.71,,,16.22,41.94,17.17
Afghanistan,1993.0,AFG,,9834582315.0,658.13,,,16.22,41.94,
Afghanistan,1994.0,AFG,16250800.0,7919856426.0,487.35,,,16.22,41.94,17.17
Afghanistan,1995.0,AFG,17065837.0,12307525468.0,721.18,,,16.22,41.94,17.17
Afghanistan,1996.0,AFG,17763266.0,12070125316.0,679.5,,,16.22,41.94,17.17
Afghanistan,1997.0,AFG,18452100.0,11850752863.0,642.24,,,16.22,41.94,17.17
Afghanistan,1998.0,AFG,19159996.0,11692171422.0,610.24,,,16.22,41.94,17.17
Afghanistan,1999.0,AFG,19887792.0,11517315926.0,579.11,,,16.22,41.94,17.17
Afghanistan,2000.0,AFG,20130334.0,11283794151.0,560.54,,,16.22,41.94,17.17
Afghanistan,2001.0,AFG,20284303.0,11021272927.0,543.34,,,16.22,41.94,17.17
Afghanistan,2002.0,AFG,21378123.0,18804871508.0,879.63,,,16.22,41.94,17.17
Afghanistan,2003.0,AFG,22733053.0,21074343420.0,927.04,,,16.22,41.94,17.17
Afghanistan,,AFG,23560656.0,22332570533.0,,,,16.22,41.94,17.17
Afghanistan,2005.0,AFG,24404575.0,25397686814.0,1040.69,,,16.22,41.94,17.17
Afghanistan,2006.0,AFG,25424100.0,28704399925.0,1129.02,,,16.22,41.94,17.17
Afghanistan,2007.0,AFG,25909852.0,34507529735.0,1331.83,,,16.22,41.94,17.17
Afghanistan,2008.0,AFG,26482631.0,36561043230.0,1380.57,,,16.22,41.94,17.17
Afghanistan,2009.0,AFG,27466102.0,44358722212.0,1615.04,,,15.36,40.81,17.85
Afghanistan,2010.0,AFG,28284088.0,47399425562.0,1675.83,,,15.11,40.44,17.92
Afghanistan,2011.0,AFG,29347708.0,53326336000.0,1817.05,,,,39.42,
Afghanistan,2012.0,AFG,30560036.0,59166900000.0,1936.09,,,13.82,38.76,19.0
Afghanistan,2013.0,AFG,31622709.0,62993700000.0,1992.04,,,14.09,39.23,18.73
Afghanistan,2014.0,AFG,32792528.0,64346106000.0,1962.22,,,14.29,39.61,18.55
Afghanistan,2015.0,AFG,33831767.0,62783392000.0,1855.75,,,14.38,39.87,18.48
Afghanistan,2016.0,AFG,34700613.0,64372217488.0,1855.07,,,14.71,40.41,18.16
Afghanistan,2017.0,AFG,35688941.0,65169281649.0,1826.04,,,15.08,41.01,17.79
Afghanistan,2018.0,AFG,36743040.0,65996738862.0,1796.17,,,15.08,41.01,17.79
Afghanistan,,AFG,37856125.0,,1930.62,,,,41.01,17.79
Afghanistan,2020.0,AFG,39068977.0,71417706295.0,1827.99,,,15.08,41.01,17.79
Afghanistan,2021.0,AFG,40000410.0,56638852656.0,1415.96,,,15.08,41.01,17.79
Afghanistan,20220.0,AFG,40578847.0,53303471617.0,13135.8,,,,,
Afghanistan,2023.0,AFG,41454762.0,,,,,15.08,41.01,17.79
Afghanistan,2024.0,AFG,42647502.0,,,,,15.08,41.01,17.79
Albania,1980.0,ALB,2735424.0,9993752701.0,3653.46,,,6.8,30.6,19.49
Albania,1981.0,ALB,2790413.0,10248711161.0,3672.83,,,6.8,30.6,19.49
Albania,1982.0,ALB,-28469100.0,10517106662.0,3694.22,,,680.0,3060.0,19.49
Albania,1983.0,ALB,2905128.0,10795983352.0,3716.18,,,6.8,30.61,19.48
Albania,1984.0,ALB,2964961.0,11080088527.0,3737.01,,,6.79,30.59,19.49
Albania,1985.0,ALB,3026245.0,11371456744.0,3757.61,,,6.79,30.59,19.49
Albania,1986.0,ALB,3087658.0,11669745014.0,3779.48,,,6.79,30.59,19.48
Albania,1987.0,ALB,3148843.0,11975300148.0,3803.08,,,6.79,30.59,19.49
Albania,1988.0,ALB,3212924.0,12296424628.0,3827.18,,,6.79,30.58,19.49
Albania,1989.0,ALB,3260369.0,12617018592.0,3869.81,,,6.79,30.58,19.49
Albania,1990.0,ALB,3277965.0,12947849077.0,3949.97,,,6.79,30.58,19.5
Albania,1991.0,ALB,3282608.0,9375856841.0,2856.22,,,7.0,30.93,19.41
Albania,1992.0,ALB,3282506.0,8745674435.0,2664.33,,,7.24,31.28,19.29
Albania,1993.0,ALB,3277831.0,9636341649.0,2939.85,,,7.51,31.67,19.17
Albania,1994.0,ALB,3269417.0,10596114842.0,3240.98,,,7.81,32.07,19.05
Albania,1995.0,ALB,3258573.0,11600732968.0,3560.07,,,8.14,32.55,18.91
Albania,1996.0,ALB,3245680.0,12468867839.0,3841.68,2.9678411781787872,27.01034248,8.13,32.53,18.91
Albania,1997.0,ALB,3229665.0,11020137102.0,3412.16,,,8.39,32.94,18.63
Albania,1998.0,ALB,3210134.0,12026242682.0,3746.34,,,8.5,33.12,18.67
Albania,1999.0,ALB,3188598.0,13673692880.0,4288.31,,,8.49,33.14,18.49
Albania,2000.0,ALB,3166147.0,14736835655.0,4654.5,,,8.33,32.9,18.49
Albania,-200100.0,ALB,3147943.0,16103903904.0,5115.69,,,-84.3,-332.2,18.3
Albania,2002.0,ALB,3134095.0,,,,,8.61,33.59,18.08
Albania,2003.0,ALB,3118093.0,18171076149.0,5827.62,,,8.74,33.69,18.16
Albania,2004.0,ALB,3098662.0,19346601376.0,6243.53,,,8.56,33.34,18.35
Albania,2005.0,ALB,3076156.0,20562850324.0,6684.59,2.650217525660992,30.59565425,8.41,33.09,18.52
Albania,2006.0,ALB,3050805.0,21889974405.0,7175.15,,,8.32,32.89,18.55
Albania,2007.0,ALB,3022887.0,23259283502.0,7694.39,,,7.85,32.08,18.89
Albania,2008.0,ALB,2992933.0,25006230217.0,8355.09,0.8273079060018063,29.98467088,8.57,33.03,18.68
Albania,2009.0,ALB,2961487.0,25821550979.0,8719.12,,,8.51,32.75,19.11
Albania,,ALB,2928731.0,26747818608.0,9132.9,,,8.41,32.68,
Albania,2011.0,ALB,2911499.0,27431048326.0,9421.62,,,8.59,33.08,19.04
Albania,2012.0,ALB,2910003.0,27819814441.0,9560.06,1.7945902422070503,28.96048427,8.54,32.97,19.11
Albania,2013.0,ALB,2907571.0,28098562696.0,9663.93,,,9.31,34.61,17.97
Albania,2014.0,ALB,2903748.0,28597169040.0,9848.36,3.6761395633220673,34.59889591,9.59,35.54,17.24
Albania,2015.0,ALB,2898634.0,29231663899.0,10084.63,1.114864181727171,32.7537328,9.62,35.21,17.65
Albania,,ALB,2897868.0,30200694449.0,,1.140619721263647,33.73629749,,35.77,
Albania,2017.0,ALB,2898245.0,31348975722.0,10816.54,1.4444440603256226,33.05566311,9.48,35.45,17.06
Albania,2018.0,ALB,2894229.0,32609000823.0,11266.9,1.0100294835865498,30.14828265,9.29,35.03,17.49
Albania,2019.0,ALB,2885011.0,33289747424.0,11538.86,0.2723694546148181,30.11576831,9.33,34.48,18.32
Albania,2020.0,ALB,2871950.0,32130726850.0,11187.77,0.3409224562346935,29.41963077,9.33,34.48,18.34
Albania,2021.0,ALB,2849641.0,34866976278.0,12235.57,,,9.34,34.35,17.94
Albania,2022.0,ALB,2827614.0,36171005594.0,12792.06,,,9.29,34.66,17.23
Albania,2023.0,ALB,2811660.0,,,,,9.32,34.37,17.76
Albania,2024.0,ALB,2791756.0,,,,,9.32,34.37,17.76
Algeria,1980.0,DZA,18607175.0,94481648187.0,5077.7,,,15.72,46.6,15.08
Algeria,1981.0,DZA,19220708.0,96860512464.0,5039.38,,,15.72,46.6,15.08
Algeria,1982.0,DZA,19872353.0,103073663847.0,5186.79,,,15.72,46.6,15.08
Algeria,1983.0,DZA,20558120.0,108430390837.0,5274.33,,,15.72,46.6,15.08
Algeria,1984.0,DZA,21271969.0,114406671796.0,5378.28,,,15.72,46.6,15.08
Algeria,1985.0,DZA,22008542.0,120364208777.0,5468.98,,,15.72,46.6,15.08
Algeria,1986.0,DZA,22745501.0,119145030269.0,5238.18,,,15.72,46.6,15.08
Algeria,1987.0,DZA,23443627.0,118321211437.0,5047.05,,,15.72,46.6,15.08
Algeria,1988.0,DZA,24109538.0,115821713281.0,4803.98,12.263000011444092,37.35699356,15.72,46.6,15.08
Algeria,1989.0,DZA,24754488.0,119762433617.0,4838.01,,,15.72,46.6,15.08
Algeria,1990.0,DZA,25375815.0,117843179781.0,4643.92,,,15.72,46.6,15.08
Algeria,1991.0,DZA,25987937.0,121105141795.0,4660.05,,,15.72,46.6,15.08
Algeria,1992.0,DZA,26628570.0,127982696018.0,4806.22,,,15.72,46.6,15.08
Algeria,1993.0,DZA,27277042.0,130275774703.0,4776.02,,,15.72,46.6,15.08
Algeria,1994.0,DZA,27887277.0,134279859768.0,4815.09,,,15.72,46.6,15.08
Algeria,,DZA,28470194.0,,,11.806999891996384,,15.72,46.6,15.08
Algeria,1996.0,DZA,29033045.0,156579113896.0,5393.13,,,15.72,46.6,15.08
Algeria,1997.0,DZA,29579299.0,164644463404.0,5566.21,,,15.72,46.6,15.08
Algeria,1998.0,DZA,30054135.0,179962887740.0,5987.96,,,15.72,46.6,15.08
Algeria,1999.0,DZA,30474360.0,193179776879.0,6339.09,,,15.72,46.6,15.08
Algeria,2000.0,DZA,30903894.0,208554150552.0,6748.47,,,15.72,46.6,15.08
Algeria,2001.0,DZA,31331226.0,223420294027.0,7130.91,,,15.72,46.6,15.08
Algeria,2002.0,DZA,31750832.0,245360923720.0,7727.7,,,15.72,46.6,15.08
Algeria,2003.0,DZA,32175813.0,273568638765.0,8502.31,,,15.72,46.6,15.08
Algeria,2004.0,DZA,32628286.0,296773569597.0,9095.59,,,15.72,46.6,15.08
Algeria,2005.0,DZA,33109258.0,326854481030.0,9872.0,,,15.72,46.6,15.08
Algeria,2006.0,DZA,33623505.0,345705309468.0,10281.66,,,15.72,46.6,15.08
Algeria,2007.0,DZA,3418942000.0,37166526016100.0,10870.77,,,157.7,45.91,15.79
Algeria,2008.0,DZA,34816963.0,395658515586.0,11363.96,,,15.81,45.24,16.5
Algeria,2009.0,DZA,35490442.0,418247711085.0,11784.8,,,15.85,44.57,17.19
Algeria,2010.0,DZA,36188237.0,450705801593.0,12454.48,,,15.89,43.92,17.88
Algeria,2011.0,DZA,36903374.0,482028679734.0,13061.91,0.0,27.61573195,15.93,43.27,18.55
Algeria,2012.0,DZA,37646165.0,498417638719.0,13239.53,,,19.55,46.65,17.18
Algeria,2013.0,DZA,38414176.0,512373332647.0,13338.13,,,23.25,50.1,15.78
Algeria,,DZA,,,13565.69,,,,50.1,15.78
Algeria,2015.0,DZA,40019528.0,551521739825.0,13781.32,,,23.25,50.1,15.78
Algeria,2016.0,DZA,40850719.0,569170418715.0,13932.94,,,23.25,50.1,15.78
Algeria,,DZA,41689302.0,,13843.81,,,23.25,,15.78
Algeria,2018.0,DZA,42505033.0,,13741.07,,,,50.1,
Algeria,2019.0,DZA,43294551.0,589905104177.0,13625.39,,,23.25,50.1,15.78
Algeria,2020.0,DZA,44042094.0,559819958223.0,12711.02,,,23.25,50.1,15.78
Algeria,2021.0,DZA,44761099.0,578853830170.0,12932.07,,,23.25,50.1,15.78
Algeria,2022.0,DZA,45477391.0,595820067103.0,13101.46,,,23.25,50.1,15.78
