country,year,iso_code,population,gdp,gdp_per_capita,poverty_rate,gini_index,income_top1,income_top10,income_bottom50
,1980.0,,13169313.0,,1164.06,,,16.22,41.94,17.17
,,AFG,,15645344000.0,1310.6,,,16.22,41.94,17.17
Afghanistan,1982.0,,,15980410000.0,,,,,41.94,17.17
Afghanistan,1983.0,,10917985.0,16755333000.0,,,,,41.94,17.17
,1984.0,AFG,11190222.0,17072153000.0,1525.63,,,16.22,,17.17
Afghanistan,1985.0,AFG,11426855.0,17108480000.0,1497.22,,,16.22,41.94,17.17
Afghanistan,1986.0,AFG,11420074.0,,,,,16.22,,17.17
Afghanistan,1987.0,AFG,11387822.0,,,,,16.22,41.94,17.17
Afghanistan,1988.0,,11523299.0,14499069000.0,1258.24,,,16.22,41.94,17.17
Afghanistan,1989.0,AFG,11874089.0,13489497000.0,1136.04,,,16.22,41.94,
Afghanistan,1990.0,AFG,12045664.0,13065984000.0,1084.7,,,16.22,41.94,17.17
Afghanistan,1991.0,AFG,12238879.0,12047361847.0,984.35,,,16.22,41.94,17.17
Afghanistan,1992.0,,13278983.0,12677539626.0,,,,16.22,41.94,
Afghanistan,,AFG,14943175.0,9834582315.0,658.13,,,16.22,,17.17
,,,16250800.0,7919856426.0,487.35,,,16.22,41.94,
,1995.0,AFG,17065837.0,,721.18,,,16.22,41.94,
Afghanistan,1996.0,,17763266.0,,679.5,,,16.22,41.94,17.17
Afghanistan,1997.0,AFG,,11850752863.0,642.24,,,16.22,41.94,17.17
Afghanistan,,,,,,,,,,17.17
Afghanistan,1999.0,AFG,,11517315926.0,,,,16.22,41.94,17.17
Afghanistan,2000.0,AFG,20130334.0,11283794151.0,560.54,,,16.22,,
Afghanistan,2001.0,AFG,20284303.0,,543.34,,,16.22,,17.17
Afghanistan,2002.0,AFG,21378123.0,18804871508.0,879.63,,,16.22,41.94,17.17
Afghanistan,,,22733053.0,21074343420.0,,,,16.22,41.94,17.17
,2004.0,AFG,23560656.0,,,,,16.22,41.94,17.17
Afghanistan,2005.0,,24404575.0,25397686814.0,1040.69,,,16.22,41.94,
Afghanistan,2006.0,AFG,25424100.0,28704399925.0,1129.02,,,16.22,41.94,17.17
Afghanistan,2007.0,AFG,25909852.0,34507529735.0,1331.83,,,16.22,41.94,
Afghanistan,2008.0,AFG,26482631.0,36561043230.0,1380.57,,,16.22,41.94,17.17
,2009.0,AFG,27466102.0,44358722212.0,1615.04,,,15.36,40.81,17.85
Afghanistan,2010.0,,28284088.0,47399425562.0,1675.83,,,15.11,40.44,17.92
Afghanistan,,AFG,29347708.0,53326336000.0,,,,,,18.6
Afghanistan,,AFG,30560036.0,,1936.09,,,13.82,38.76,
Afghanistan,2013.0,AFG,31622709.0,62993700000.0,1992.04,,,,39.23,18.73
Afghanistan,2014.0,AFG,,64346106000.0,1962.22,,,,,18.55
Afghanistan,2015.0,AFG,33831767.0,,1855.75,,,14.38,,
Afghanistan,2016.0,AFG,34700613.0,64372217488.0,,,,14.71,40.41,18.16
,2017.0,,,65169281649.0,1826.04,,,15.08,,17.79
Afghanistan,2018.0,AFG,36743040.0,65996738862.0,1796.17,,,15.08,41.01,17.79
,2019.0,,37856125.0,73085701943.0,,,,15.08,,17.79
Afghanistan,2020.0,,39068977.0,71417706295.0,1827.99,,,,41.01,17.79
Afghanistan,,,40000410.0,,1415.96,,,15.08,41.01,17.79
Afghanistan,2022.0,AFG,40578847.0,53303471617.0,,,,,41.01,17.79
Afghanistan,,AFG,41454762.0,,,,,,41.01,17.79
,2024.0,AFG,42647502.0,,,,,15.08,41.01,
,1980.0,ALB,2735424.0,9993752701.0,3653.46,,,6.8,30.6,19.49
Albania,1981.0,ALB,2790413.0,10248711161.0,3672.83,,,,,
Albania,1982.0,ALB,2846910.0,10517106662.0,3694.22,,,6.8,,
Albania,,,2905128.0,10795983352.0,3716.18,,,6.8,30.61,19.48
Albania,,ALB,2964961.0,11080088527.0,3737.01,,,6.79,30.59,
Albania,1985.0,ALB,3026245.0,11371456744.0,3757.61,,,6.79,30.59,19.49
,,ALB,3087658.0,11669745014.0,3779.48,,,6.79,30.59,19.48
Albania,1987.0,,3148843.0,,3803.08,,,6.79,,19.49
Albania,1988.0,ALB,3212924.0,12296424628.0,,,,,30.58,19.49
,1989.0,,,,3869.81,,,6.79,30.58,
Albania,1990.0,,3277965.0,12947849077.0,,,,6.79,,19.5
Albania,,ALB,3282608.0,9375856841.0,2856.22,,,7.0,30.93,
Albania,1992.0,ALB,3282506.0,8745674435.0,2664.33,,,,,19.29
Albania,,,3277831.0,,2939.85,,,7.51,31.67,19.17
,1994.0,ALB,3269417.0,,3240.98,,,7.81,32.07,19.05
Albania,1995.0,,3258573.0,11600732968.0,3560.07,,,,32.55,18.91
,1996.0,ALB,3245680.0,12468867839.0,,,27.01034248,8.13,32.53,18.91
,1997.0,ALB,3229665.0,,3412.16,,,8.39,32.94,18.63
Albania,1998.0,,,12026242682.0,3746.34,,,8.5,33.12,18.67
Albania,,ALB,3188598.0,13673692880.0,4288.31,,,8.49,33.14,18.49
,2000.0,ALB,3166147.0,14736835655.0,4654.5,,,8.33,,18.49
,2001.0,ALB,3147943.0,16103903904.0,5115.69,,,8.43,,18.3
Albania,2002.0,ALB,,17037279441.0,5436.11,,31.73897862,8.61,33.59,18.08
Albania,,ALB,,,,,,8.74,,18.16
Albania,,ALB,,19346601376.0,6243.53,,,8.56,33.34,18.35
,2005.0,ALB,,,6684.59,2.650217525660992,30.59565425,8.41,,18.52
,2006.0,,3050805.0,21889974405.0,,,,8.32,32.89,18.55
