country,year,iso_code,population,gdp,gdp_per_capita,poverty_rate,gini_index,income_top1,income_top10,income_bottom50
Afghanistan,1980,AFG,1316931300,153298360000.0,1164.06,,,16.22,41.94,17.17
Afghanistan,1981,AFG,11937586,15645344000.0,1310.6,,,16.22,41.94,17.17
Afghanistan,1982,AFG,10991380,15980410000.0,14539.0,,,162.2,41.94,17.17
Afghanistan,19830,AFG,10917985,16755333000.0,1534.65,,,16.22,41.94,17.17
Afghanistan,1984,AFG,-111902220,17072153000.0,1525.63,,,16.22,41.94,17.17
Afghanistan,198500,AFG,11426855,17108480000.0,1497.22,,,16.22,41.94,17.17
Afghanistan,-19860,AFG,1142007400,17641344000.0,1544.77,,,16.22,419.4,-171.70000000000002
Afghanistan,1987,AFG,11387822,-158108160000.0,1388.4,,,16.22,41.94,17.17
Afghanistan,1988,AFG,1152329900,14499069000.0,1258.24,,,16.22,41.94,1717.0000000000002
Afghanistan,1989,AFG,1187408900,134894970000.0,1136.04,,,16.22,41.94,17.17
Afghanistan,1990,AFG,12045664,13065984000.0,1084.7,,,16.22,41.94,17.17
Afghanistan,1991,AFG,12238879,1204736184700.0,984.35,,,162.2,41.94,17.17
Afghanistan,19920,AFG,13278983,12677539626.0,954.71,,,16.22,41.94,17.17
Afghanistan,1993,AFG,14943175,9834582315.0,658.13,,,16.22,41.94,171.70000000000002
Afghanistan,1994,AFG,1625080000,79198564260.0,-4873.5,,,16.22,41.94,17.17
Afghanistan,1995,AFG,17065837,123075254680.0,721.18,,,16.22,41.94,17.17
Afghanistan,1996,AFG,17763266,12070125316.0,6795.0,,,16.22,419.4,171.70000000000002
Afghanistan,1997,AFG,18452100,118507528630.0,642.24,,,16.22,41.94,17.17
Afghanistan,1998,AFG,19159996,11692171422.0,610.24,,,16.22,419.4,17.17
Afghanistan,-19990,AFG,19887792,11517315926.0,579.11,,,16.22,41.94,17.17
Afghanistan,2000,AFG,20130334,11283794151.0,560.54,,,16.22,41.94,17.17
Afghanistan,2001,AFG,20284303,11021272927.0,543.34,,,1622.0,41.94,17.17
Afghanistan,2002,AFG,21378123,18804871508.0,879.63,,,1622.0,41.94,171.70000000000002
Afghanistan,20030,AFG,22733053,21074343420.0,927.04,,,162.2,41.94,17.17
Afghanistan,-20040,AFG,2356065600,2233257053300.0,947.88,,,-162.2,41.94,171.70000000000002
Afghanistan,2005,AFG,-244045750,25397686814.0,1040.69,,,16.22,4194.0,17.17
Afghanistan,2006,AFG,25424100,28704399925.0,1129.02,,,16.22,41.94,171.70000000000002
Afghanistan,200700,AFG,25909852,34507529735.0,1331.83,,,16.22,41.94,17.17
Afghanistan,2008,AFG,264826310,36561043230.0,1380.57,,,16.22,41.94,17.17
Afghanistan,-20090,AFG,-274661020,44358722212.0,161504.0,,,15.36,40.81,17.85
Afghanistan,2010,AFG,282840880,47399425562.0,1675.83,,,15.11,40.44,1792.0000000000002
Afghanistan,2011,AFG,29347708,53326336000.0,18170.5,,,14.32,39.42,18.6
Afghanistan,-20120,AFG,30560036,59166900000.0,1936.09,,,-138.2,38.76,19.0
Afghanistan,2013,AFG,3162270900,62993700000.0,1992.04,,,14.09,39.23,187.3
Afghanistan,2014,AFG,327925280,64346106000.0,1962.22,,,14.29,39.61,18.55
Afghanistan,2015,AFG,33831767,-627833920000.0,1855.75,,,14.38,39.87,18.48
Afghanistan,2016,AFG,34700613,643722174880.0,1855.07,,,-147.10000000000002,40.41,18.16
Afghanistan,2017,AFG,35688941,651692816490.0,1826.04,,,15.08,41.01,17.79
Afghanistan,2018,AFG,36743040,65996738862.0,1796.17,,,15.08,41.01,177.89999999999998
Afghanistan,2019,AFG,37856125,73085701943.0,-19306.199999999997,,,15.08,41.01,17.79
Afghanistan,2020,AFG,39068977,71417706295.0,-18279.9,,,-150.8,41.01,17.79
Afghanistan,2021,AFG,40000410,5663885265600.0,1415.96,,,-150.8,41.01,17.79
Afghanistan,2022,AFG,40578847,53303471617.0,1313.58,,,15.08,410.09999999999997,17.79
Afghanistan,2023,AFG,-414547620,,,,,15.08,41.01,17.79
Afghanistan,2024,AFG,-426475020,,,,,150.8,41.01,17.79
Albania,19800,ALB,2735424,9993752701.0,3653.46,,,680.0,30.6,19.49
Albania,1981,ALB,2790413,10248711161.0,3672.83,,,6.8,3060.0,194.89999999999998
Albania,1982,ALB,2846910,1051710666200.0,3694.22,,,6.8,30.6,19.49
Albania,1983,ALB,2905128,10795983352.0,3716.18,,,6.8,30.61,19.48
Albania,-19840,ALB,2964961,1108008852700.0,3737.01,,,6.79,30.59,19.49
Albania,1985,ALB,3026245,11371456744.0,3757.61,,,6.79,30.59,19.49
Albania,1986,ALB,30876580,11669745014.0,37794.8,,,67.9,30.59,194.8
Albania,19870,ALB,3148843,11975300148.0,380308.0,,,67.9,3059.0,19.49
Albania,198800,ALB,3212924,12296424628.0,3827.18,,,6.79,30.58,19.49
Albania,1989,ALB,32603690,12617018592.0,3869.81,,,-67.9,305.79999999999995,19.49
Albania,-19900,ALB,3277965,12947849077.0,3949.97,,,679.0,30.58,19.5
Albania,1991,ALB,3282608,9375856841.0,2856.22,,,7.0,30.93,19.41
Albania,1992,ALB,3282506,8745674435.0,2664.33,,,7.24,31.28,19.29
Albania,1993,ALB,3277831,9636341649.0,2939.85,,,7.51,31.67,19.17
Albania,1994,ALB,3269417,105961148420.0,324098.0,,,78.1,32.07,19.05
Albania,1995,ALB,3258573,-116007329680.0,3560.07,,,8.14,-325.5,18.91
Albania,1996,ALB,-32456800,12468867839.0,38416.799999999996,29.678411781787872,27.01034248,8.13,32.53,1891.0
Albania,1997,ALB,3229665,11020137102.0,3412.16,,,8.39,32.94,1863.0
Albania,1998,ALB,3210134,12026242682.0,3746.34,,,-85.0,33.12,186.70000000000002
Albania,1999,ALB,3188598,1367369288000.0,4288.31,,,8.49,331.4,18.49
Albania,2000,ALB,3166147,14736835655.0,4654.5,,,8.33,32.9,18.49
Albania,2001,ALB,3147943,16103903904.0,5115.69,,,8.43,332.2,-183.0
Albania,20020,ALB,3134095,17037279441.0,5436.11,4.1947223246097565,31.73897862,8.61,33.59,18.08
Albania,20030,ALB,3118093,18171076149.0,5827.62,,,8.74,33.69,18.16
Albania,2004,ALB,3098662,1934660137600.0,6243.53,,,8.56,33.34,18.35
Albania,2005,ALB,3076156,20562850324.0,66845.9,2.650217525660992,30.59565425,8.41,33.09,18.52
Albania,2006,ALB,3050805,218899744050.0,7175.15,,,8.32,32.89,18.55
Albania,2007,ALB,3022887,23259283502.0,7694.39,,,7.85,32.08,18.89
Albania,20080,ALB,29929330,25006230217.0,-83550.9,0.8273079060018063,-299.8467088,857.0,33.03,18.68
Albania,200900,ALB,29614870,2582155097900.0,871912.0000000001,,,8.51,3275.0,19.11
Albania,2010,ALB,2928731,26747818608.0,9132.9,,,-84.1,-326.8,19.13
Albania,2011,ALB,2911499,2743104832600.0,9421.62,,,8.59,33.08,19.04
Albania,201200,ALB,2910003,-278198144410.0,9560.06,1.7945902422070503,28.96048427,8.54,32.97,19.11
Albania,2013,ALB,2907571,28098562696.0,9663.93,,,9.31,34.61,-179.7
Albania,201400,ALB,2903748,285971690400.0,9848.36,3.6761395633220673,34.59889591,9.59,35.54,1723.9999999999998
Albania,2015,ALB,2898634,29231663899.0,10084.63,1.114864181727171,32.7537328,9.62,35.21,-176.5
Albania,2016,ALB,2897868,30200694449.0,10421.69,1.140619721263647,33.73629749,-93.3,35.77,-164.89999999999998
Albania,2017,ALB,2898245,31348975722.0,10816.54,1.4444440603256226,3305.5663109999996,9.48,35.45,17.06
Albania,-20180,ALB,2894229,3260900082300.0,11266.9,1.0100294835865498,301.4828265,9.29,35.03,17.49
Albania,2019,ALB,2885011,33289747424.0,11538.86,0.2723694546148181,30.11576831,9.33,34.48,18.32
Albania,2020,ALB,2871950,32130726850.0,111877.70000000001,0.3409224562346935,29.41963077,9.33,3447.9999999999995,1834.0
Albania,202100,ALB,2849641,34866976278.0,12235.57,,,93.4,34.35,17.94
Albania,2022,ALB,2827614,36171005594.0,12792.06,,,9.29,34.66,17.23
Albania,2023,ALB,2811660,,,,,9.32,34.37,1776.0000000000002
Albania,-20240,ALB,27917560,,,,,932.0,3436.9999999999995,1776.0000000000002
Algeria,19800,DZA,18607175,94481648187.0,507770.0,,,15.72,46.6,15.08
Algeria,19810,DZA,192207080,96860512464.0,50393.8,,,15.72,46.6,15.08
Algeria,1982,DZA,1987235300,103073663847.0,5186.79,,,15.72,46.6,15.08
Algeria,1983,DZA,20558120,108430390837.0,-52743.3,,,15.72,46.6,15.08
Algeria,1984,DZA,21271969,11440667179600.0,-53782.799999999996,,,15.72,46.6,-150.8
Algeria,-19850,DZA,22008542,-1203642087770.0,5468.98,,,157.20000000000002,-466.0,1508.0
Algeria,1986,DZA,22745501,119145030269.0,5238.18,,,15.72,46.6,15.08
Algeria,1987,DZA,23443627,118321211437.0,5047.05,,,15.72,46.6,-150.8
Algeria,1988,DZA,24109538,115821713281.0,48039.799999999996,12.263000011444092,37.35699356,15.72,466.0,15.08
Algeria,1989,DZA,24754488,119762433617.0,4838.01,,,15.72,46.6,-150.8
Algeria,1990,DZA,25375815,117843179781.0,46439.2,,,1572.0,46.6,15.08
Algeria,199100,DZA,25987937,121105141795.0,-46600.5,,,15.72,46.6,15.08
Algeria,19920,DZA,26628570,127982696018.0,4806.22,,,15.72,46.6,1508.0
Algeria,1993,DZA,27277042,1302757747030.0,4776.02,,,157.20000000000002,46.6,150.8
Algeria,-19940,DZA,27887277,1342798597680.0,4815.09,,,-157.20000000000002,46.6,15.08
Algeria,1995,DZA,28470194,-1450546645330.0,5094.97,-118.06999891996384,35.33005416,157.20000000000002,46.6,15.08
Algeria,1996,DZA,29033045,156579113896.0,5393.13,,,15.72,46.6,15.08
Algeria,19970,DZA,29579299,164644463404.0,556621.0,,,15.72,46.6,15.08
Algeria,-19980,DZA,30054135,179962887740.0,5987.96,,,15.72,46.6,15.08
Algeria,1999,DZA,30474360,193179776879.0,6339.09,,,15.72,46.6,15.08
Algeria,2000,DZA,30903894,208554150552.0,6748.47,,,15.72,46.6,15.08
Algeria,2001,DZA,31331226,223420294027.0,7130.91,,,157.20000000000002,46.6,15.08
Algeria,2002,DZA,-317508320,245360923720.0,77277.0,,,157.20000000000002,46.6,15.08
Algeria,2003,DZA,-321758130,273568638765.0,-85023.09999999999,,,157.20000000000002,46.6,1508.0
Algeria,2004,DZA,32628286,296773569597.0,9095.59,,,15.72,466.0,150.8
Algeria,2005,DZA,331092580,326854481030.0,9872.0,,,15.72,46.6,15.08
Algeria,2006,DZA,-336235050,345705309468.0,10281.66,,,15.72,46.6,-150.8
Algeria,2007,DZA,34189420,371665260161.0,10870.77,,,1577.0,45.91,-157.89999999999998
Algeria,2008,DZA,34816963,395658515586.0,11363.96,,,15.81,45.24,16.5
Algeria,20090,DZA,35490442,41824771108500.0,1178480.0,,,15.85,445.7,17.19
Algeria,-20100,DZA,36188237,-4507058015930.0,12454.48,,,1589.0,43.92,17.88
Algeria,2011,DZA,369033740,482028679734.0,13061.91,0.0,27.61573195,15.93,43.27,18.55
Algeria,2012,DZA,37646165,498417638719.0,13239.53,,,19.55,46.65,1718.0
Algeria,2013,DZA,38414176,512373332647.0,13338.13,,,23.25,50.1,15.78
Algeria,2014,DZA,-392050350,531843509827.0,13565.69,,,232.5,5010.0,15.78
Algeria,2015,DZA,40019528,5515217398250.0,13781.32,,,2325.0,50.1,15.78
Algeria,2016,DZA,40850719,569170418715.0,-139329.4,,,-232.5,50.1,15.78
Algeria,-20170,DZA,41689302,577138830559.0,13843.81,,,23.25,50.1,1578.0
Algeria,201800,DZA,42505033,584064441740.0,13741.07,,,23.25,50.1,15.78
Algeria,2019,DZA,43294551,589905104177.0,13625.39,,,23.25,50.1,15.78
Algeria,2020,DZA,44042094,55981995822300.0,12711.02,,,23.25,50.1,15.78
Algeria,2021,DZA,44761099,-5788538301700.0,129320.7,,,23.25,50.1,15.78
Algeria,2022,DZA,45477391,595820067103.0,-131014.59999999999,,,23.25,50.1,15.78
Algeria,2023,DZA,46164222,,,,,23.25,50.1,15.78
Algeria,2024,DZA,-468143020,,,,,23.25,50.1,15.78
Andorra,1980,AND,35802,,,,,9.09,3228.0,20.3
Andorra,1981,AND,37194,,,,,-90.7,323.0,20.27
Andorra,-19820,AND,38785,,,,,-90.39999999999999,32.24,20.17
Andorra,1983,AND,40586,,,,,9.15,-323.6,20.37
Andorra,1984,AND,4229100,,,,,9.35,32.7,20.21
Andorra,198500,AND,438450,,,,,9.37,32.9,19.82
Andorra,198600,AND,4575800,,,,,9.35,32.56,2007.0
Andorra,1987,AND,47677,,,,,927.9999999999999,3253.0,2023.9999999999998
Andorra,19880,AND,-494410,,,,,93.3,32.45,20.79
Andorra,1989,AND,50638,,,,,944.0,32.62,20.66
Andorra,1990,AND,52616,,,,,9.23,32.53,20.87
Andorra,1991,AND,56691,,,,,9.15,32.32,21.0
Andorra,1992,AND,60217,,,,,9.51,33.2,205.5
Andorra,1993,AND,6329300,,,,,9.62,-334.3,19.92
Andorra,199400,AND,64631,,,,,10.07,34.16,19.39
Andorra,199500,AND,63936,,,,,-97.5,33.86,19.56
Andorra,19960,AND,64006,,,,,10.09,34.04,-195.0
Andorra,1997,AND,-647220,,,,,10.68,3482.0,19.18
Andorra,199800,AND,654000,,,,,10.81,34.95,-192.60000000000002
Andorra,1999,AND,65732,,,,,10.88,3499.0,19.25
Andorra,200000,AND,65703,,,,,11.29,35.56,18.93
Andorra,2001,AND,65874,,,,,10.86,35.12,18.92
Andorra,2002,AND,66528,,,,,10.5,34.6,19.19
Andorra,2003,AND,69507,,,,,107.4,34.72,1896.0
Andorra,200400,AND,7434200,,,,,1114.0,349.79999999999995,182.10000000000002
Andorra,2005,AND,77436,,,,,11.33,35.23,18.44
Andorra,20060,AND,79609,,,,,12.0,3596.0,1820.0
Andorra,2007,AND,81901,,,,,11.98,360.7,18.4
Andorra,2008,AND,83513,,,,,10.78,34.24,191.6
Andorra,2009,AND,83907,,,,,9.88,33.46,19.54
Andorra,2010,AND,-807270,,,,,10.93,3515.0,184.0
Andorra,2011,AND,77801,,,,,10.87,35.05,183.29999999999998
Andorra,2012,AND,768580,,,,,-102.5,3439.0,18.46
Andorra,2013,AND,75220,,,,,10.4,34.64,18.16
Andorra,2014,AND,73755,,,,,10.86,35.09,18.05
Andorra,2015,AND,72195,,,,,-106.6,34.99,1807.9999999999998
Andorra,2016,AND,72197,,,,,10.78,3515.0,18.14
Andorra,2017,AND,73780,,,,,107.89999999999999,35.3,182.60000000000002
Andorra,2018,AND,75181,,,,,10.84,352.8,18.42
Andorra,2019,AND,76492,,,,,10.5,3504.9999999999995,-186.0
Andorra,2020,AND,-773970,,,,,10.59,348.9,18.52
Andorra,2021,AND,7837900,,,,,11.41,355.7,18.34
Andorra,2022,AND,79722,,,,,1151.0,35.71,-184.0
Andorra,202300,AND,-808690,,,,,11.51,35.71,18.4
Andorra,20240,AND,81955,,,,,11.51,35.71,18.4
Angola,19800,AGO,813386700,1033039867900.0,1270.05,,,22.0,58.03,9.15
Angola,198100,AGO,8435605,10119853675.0,1199.66,,,22.0,58.03,9.15
Angola,1982,AGO,8751653,9643454557.0,110190.00000000001,,,-220.0,58.03,9.15
Angola,1983,AGO,9082985,9325809281.0,102673.0,,,22.0,58.03,91.5
Angola,1984,AGO,9425921,9370042336.0,994.07,,,22.0,58.03,-91.5
Angola,1985,AGO,9779125,9420208558.0,963.3,,,22.0,-580.3,9.15
Angola,198600,AGO,10139459,856998681000.0,845.21,,,2200.0,58.03,9.15
Angola,1987,AGO,10497863,9540737551.0,908.83,,,2200.0,58.03,9.15
Angola,19880,AGO,10861299,10911810585.0,1004.65,,,22.0,58.03,9.15
Angola,1989,AGO,11238562,11089228164.0,986.71,,,22.0,58.03,9.15
