country,year,iso_code,population,gdp,gdp_per_capita,poverty_rate,gini_index,income_top1,income_top10,income_bottom50
,1980.0,AFG,13169313.0,,,,,16.22,41.94,
Afghanistan,1981.0,,,,,,,,41.94,
,,XXX,10991380.0,,1453.9,,,16.22,,
Afghanistan,1983.0,XXX,,,1534.65,,,16.22,,17.17
,1984.0,,11190222.0,17072153000.0,,,,16.22,41.94,17.17
Afghanistan,,,,,1497.22,,,,,17.17
,1986.0,,11420074.0,17641344000.0,,,,16.22,41.94,17.17
,,,11387822.0,15810816000.0,,,,,41.94,17.17
Afghanistan,1988.0,,11523299.0,14499069000.0,1258.24,,,16.22,41.94,
,,AFG,,13489497000.0,1136.04,,,16.22,,
,,XXX,12045664.0,13065984000.0,1084.7,,,16.22,41.94,17.17
Afghanistan,,,,12047361847.0,984.35,,,16.22,41.94,
,,AFG,,12677539626.0,954.71,,,16.22,,17.17
,,XXX,14943175.0,9834582315.0,,,,,,17.17
Afghanistan,,AFG,16250800.0,,487.35,,,16.22,41.94,
Afghanistan,,,,12307525468.0,721.18,,,,41.94,
Afghanistan,1996.0,AFG,,,,,,,41.94,17.17
Afghanistan,1997.0,,,11850752863.0,642.24,,,,41.94,17.17
Afghanistan,1998.0,AFG,,,610.24,,,,41.94,
,1999.0,AFG,19887792.0,,???,,,16.22,41.94,17.17
Afghanistan,2000.0,,,,,,,16.22,41.94,17.17
Afghanistan,2001.0,AFG,,11021272927.0,,,,,41.94,17.17
Afghanistan,,,21378123.0,18804871508.0,879.63,,,,41.94,17.17
,,AFG,22733053.0,21074343420.0,927.04,,,16.22,,17.17
Afghanistan,2004.0,AFG,23560656.0,,,,,16.22,41.94,17.17
Afghanistan,2005.0,XXX,24404575.0,25397686814.0,1040.69,,,,41.94,
Afghanistan,2006.0,,25424100.0,,,,,,41.94,17.17
,2007.0,,,34507529735.0,1331.83,,,16.22,41.94,
Afghanistan,,AFG,,,1380.57,,,16.22,,
,2009.0,AFG,27466102.0,,1615.04,,,15.36,40.81,
,2010.0,,,,,,,15.11,,17.92
Afghanistan,,AFG,29347708.0,53326336000.0,1817.05,,,14.32,39.42,18.6
Afghanistan,2013.0,XXX,31622709.0,62993700000.0,,,,,,18.73
Afghanistan,,,33831767.0,62783392000.0,1855.75,,,14.38,,18.48
Afghanistan,2016.0,AFG,34700613.0,,1855.07,,,,40.41,18.16
,2017.0X,,,65169281649.0,N/A,,,15.08,,
Afghanistan,2018.0,XXX,36743040.0,,1796.17,,,15.08,41.01,
,,XXX,37856125.0,,,,,15.08,41.01,
Afghanistan,2022.0,AFG,,,1313.58,,,,41.01,
Afghanistan,2023.0,AFG,,,,,,15.08,41.01,17.79
,1980.0,,2735424.0,9993752701.0,3653.46,,,6.8,30.6,
Albania,1981.0,ALB,2790413.0,10248711161.0,3672.83,,,,,
,1983.0,ALB,2905128.0,10795983352.0,3716.18,,,6.8,,19.48
,1984.0,ALB,,11080088527.0,3737.01,,,6.79,30.59,19.49
Albania,1985.0,ALB,3026245.0,11371456744.0,3757.61,,,6.79,30.59,19.49
,,,,11669745014.0,3779.48,,,,30.59,19.48
Albania,1987.0,ALB,3148843.0,,3803.08,,,6.79,30.59,19.49
,1988.0,,,,,,,6.79,,
Albania,1989.0,ALB,,,,,,,,
Albania,,,3277965.0,12947849077.0,,,,,30.58,19.5
,,ALB,3282608.0,,,,,7.0,,19.41
Albania,,,3282506.0,8745674435.0,2664.33,,,7.24,31.28,
,,,,,,,,7.51,31.67,19.17
Albania,,ALB,3269417.0,10596114842.0,3240.98,,,,32.07,19.05
Albania,,ALB,3245680.0,ERROR,,???,27.01034248,8.13,32.53,
,1997.0,ALB,3229665.0,11020137102.0,,,,,32.94,18.63
,,ALB,,12026242682.0,,,,,,
,1999.0,,3188598.0,,4288.31,,,8.49,33.14,
,2001.0,,,,5115.69,,,,33.22,18.3
Albania,2002.0,,3134095.0,,5436.11,4.1947223246097565,,8.61,33.59,18.08
Albania,2003.0,,3118093.0,18171076149.0,,,,8.74,33.69,18.16
Albania,,,,19346601376.0,,,,8.56,,18.35
,2005.0,,3076156.0,20562850324.0,,,30.59565425,8.41,33.09,18.52
Albania,,,,21889974405.0,7175.15,,,8.32,,18.55
Albania,2007.0,,3022887.0,23259283502.0,7694.39,,,7.85,,18.89
Albania,2008.0,ALB,2992933.0,25006230217.0,8355.09,,29.98467088,8.57,,18.68
Albania,2009.0,ALB,2961487.0,,,,,,32.75,19.11
Albania,,,2928731.0,26747818608.0,,,,,32.68,19.13
Albania,,ALB,2911499.0,,9421.62,,,,33.08,
Albania,2012.0,ALB,,27819814441.0,,1.7945902422070503,,,,19.11
Albania,,XXX,2903748.0,28597169040.0,,,34.59889591,9.59,,
,2015.0,,,29231663899.0,,1.114864181727171,,,,17.65
,2017.0,ALB,2898245.0,31348975722.0,,,,9.48,,17.06
Albania,2018.0,XXX,,32609000823.0,11266.9,,30.14828265,9.29,35.03,17.49
,,ALB,,32130726850.0,,0.3409224562346935,29.41963077,9.33,,
,2021.0,ALB,2849641.0,34866976278.0,12235.57,,,9.34,34.35,17.94
,,ALB,,36171005594.0,,,,,34.66,
Albania,2023.0,ALB,2811660.0,,,,,9.32,,17.76
Albania,,ALB,,,,,,9.32,,17.76
Algeria,1980.0,,18607175.0,,,,,15.72,46.6,
Algeria,1981.0,DZA,19220708.0,96860512464.0,N/A,,,15.72,,15.08
Algeria,,DZA,19872353.0,,5186.79,,,15.72,,15.08
Algeria,1983.0,DZA,20558120.0,108430390837.0,,,,15.72,,
,1984.0,,21271969.0,,,,,,46.6,15.08
Algeria,,,22008542.0,,5468.98,,,15.72,46.6,
Algeria,1986.0,DZA,22745501.0,119145030269.0,5238.18,,,15.72,46.6,
,,,,,,,,15.72,46.6,15.08
,1988.0,DZA,,115821713281.0,4803.98,12.263000011444092,37.35699356,15.72,,15.08
,1989.0,DZA,24754488.0,119762433617.0,,,,,46.6,
,1990.0,DZA,25375815.0,117843179781.0,,,,15.72,,15.08
,,DZA,25987937.0,121105141795.0,,,,,46.6,15.08
Algeria,1992.0,DZA,26628570.0,,4806.22,,,15.72,46.6,
,1993.0,,27277042.0,130275774703.0,4776.02,,,,46.6,15.08
,1994.0,DZA,27887277.0,134279859768.0,N/A,,,15.72,46.6,15.08
Algeria,,DZA,28470194.0,,5094.97,,,15.72,,15.08
Algeria,1996.0,,,156579113896.0,5393.13,,,15.72,46.6,15.08
,1997.0,DZA,29579299.0,,5566.21,,,15.72,46.6,
,1998.0,,30054135.0,,5987.96,,,15.72,46.6,15.08
,1999.0,,,,6339.09,,,15.72,,15.08
Algeria,2000.0,,30903894.0,208554150552.0,,,,15.72,,15.08
,2001.0,DZA,31331226.0,223420294027.0,7130.91,,,15.72,46.6,
,,DZA,,245360923720.0,7727.7,,,15.72,46.6,15.08
Algeria,2003.0,DZA,,,8502.31,,,15.72,,
Algeria,2004.0,,32628286.0,,###,,,,46.6,
,2005.0,DZA,33109258.0,,9872.0,,,,46.6,
,2006.0X,,33623505.0,345705309468.0,10281.66,,,,46.6,
,,,34189420.0,,10870.77,,,,,
Algeria,,DZA,35490442.0,418247711085.0,11784.8,,,15.85,,
,,DZA,,450705801593.0,,,,15.89,43.92,17.88
Algeria,,DZA,36903374.0,482028679734.0,,0.0,,,,18.55
Algeria,2012.0,DZA,37646165.0,,,,,19.55,46.65,17.18
Algeria,2013.0,DZA,38414176.0,512373332647.0,,,,,50.1,15.78
Algeria,,DZA,39205035.0,,,,,23.25,50.1,
Algeria,2015.0,DZA,,551521739825.0,,,,,50.1,
,2017.0,DZA,,,,,,23.25,50.1,15.78
Algeria,2018.0,,,,,,,,,15.78
Algeria,,DZA,,,???,,,23.25,50.1,15.78
Algeria,2020.0,DZA,44042094.0,,,,,,50.1,15.78
,2021.0,DZA,44761099.0,,12932.07,,,23.25,50.1,15.78
Algeria,2023.0,,46164222.0,,,,,23.25,50.1,15.78
Andorra,1981.0,,37194.0,,,,,9.07,32.3,20.27
Andorra,1982.0,AND,38785.0,,,,,,32.24,20.17
,1983.0,,40586.0,,,,,,,20.37
Andorra,,AND,42291.0,,,,,9.35,,20.21
Andorra,,AND,,,,,,,32.9,19.82
Andorra,1986.0,AND,,,,,,9.35,,
Andorra,,AND,N/A,,,,,9.28,,20.24
Andorra,,,,,,,,9.33,32.45,20.79
,1991.0,XXX,56691.0,,,,,,32.32,21.0
Andorra,1992.0,AND,60217.0,,,,,9.51,,20.55
,1993.0,AND,,,,,,9.62,,19.92
Andorra,1994.0,AND,64631.0,,,,,10.07,34.16,19.39
,,,,,,,,9.75,33.86,19.56
Andorra,1996.0,AND,64006.0,,,,,10.09,34.04,19.5
Andorra,1997.0,AND,,,,,,,34.82,19.18
Andorra,,AND,65400.0,,,,,10.81,34.95,
,,,,,,,,,34.99,19.25
,2000.0,,65703.0,,,,,11.29,,18.93
,2003.0,AND,69507.0,,,,,,,18.96
,2004.0,,,,,,,11.14,,18.21
Andorra,2005.0,,77436.0,,,,,,35.23,18.44
Andorra,2006.0,AND,79609.0,,,,,12.0,,18.2
Andorra,2007.0,AND,81901.0,,,,,,36.07,18.4
Andorra,,,83513.0,,,,,10.78,,
,2009.0,XXX,,,,,,,,
Andorra,,AND,80727.0,,,,,10.93,35.15,18.4
,2011.0,XXX,,,,,,10.87,35.05,
,2012.0,,,,,,,,,
Andorra,2013.0,,75220.0,,,,,10.4,34.64,18.16
Andorra,2014.0,AND,,,,,,,,18.05
Andorra,2016.0,XXX,,,,,,10.78,,18.14
Andorra,,AND,73780.0,,,,,10.79,,18.26
,2018.0,,75181.0,,,,,10.84,35.28,
,2020.0,AND,77397.0,,,,,10.59,34.89,18.52
,2021.0,AND,,,,,,11.41,35.57,18.34
,,AND,,,,,,11.51,35.71,18.4
Andorra,2023.0,,???,,,,,,,
,,AND,,,,,,11.51,35.71,18.4
,1980.0,AGO,8133867.0,,,,,22.0,58.03,9.15
,1981.0,XXX,8435605.0,10119853675.0,1199.66,,,,,
Angola,,XXX,8751653.0,9643454557.0,1101.9,,,,,9.15
,1983.0,AGO,,9325809281.0,,,,22.0,58.03,
Angola,,XXX,9425921.0,,994.07,,,22.0,58.03,9.15
,,,,,963.3,,,,58.03,9.15
,1986.0,AGO,,8569986810.0,845.21,,,22.0,58.03,9.15
Angola,1987.0,AGO,,9540737551.0,908.83,,,22.0,,
,,XXX,10861299.0,,1004.65,,,,58.03,9.15
Angola,,,11238562.0,11089228164.0,986.71,,,22.0,58.03,9.15
Angola,1990.0,,11626361.0,,987.63,,,22.0,58.03,9.15
Angola,,AGO,12023532.0,,1026.42,,,22.0,,
,1992.0X,AGO,,12363420423.0,995.15,,,22.0,58.03,9.15
Angola,1993.0,AGO,12827136.0,,???,,,,58.03,9.15
Angola,1994.0,,13249763.0,,812.15,,,22.0,,9.15
Angola,1995.0,,13699780.0,13143769844.0,,,,22.0,,
,,AGO,14170973.0,15819838004.0,1116.36,,,22.0,58.03,9.15
,1997.0,,14660419.0,,,,,22.0,,9.15
Angola,,AGO,15667235.0,21527478033.0,,,,22.0,58.03,9.15
Angola,,AGO,,23512184116.0,1451.83,,51.9451499,,58.03,9.15
Angola,,AGO,16747204.0,,1553.39,,,,56.95,9.53
Angola,2003.0,AGO,17943718.0,,,,,,54.78,10.3
Angola,2004.0,,18600426.0,MISSING,,,,18.66,53.69,10.69
Angola,2005.0,AGO,,51967661783.0,2693.86,,,17.82,52.6,11.07
Angola,2006.0,,20015281.0,,3334.93,,,16.99,51.51,11.46
Angola,2007.0,,,,4191.16,,,,50.41,
Angola,,XXX,,,4893.41,,,,,
,2009.0,AGO,22414775.0,,5141.6,,,16.38,,
Angola,2010.0,AGO,23294822.0,126984175354.0,,,,17.45,51.06,11.59
Angola,2011.0,,###,140477268750.0,5800.45,,,,,
Angola,2012.0,,???,152476849129.0,,,,19.59,,
,2013.0,AGO,26165616.0,,6116.12,,,20.65,53.67,10.63
Angola,,AGO,,167750415635.0,,,,,54.54,10.31
,,AGO,,169333972139.0,6013.75,,,22.79,55.41,
,2016.0,AGO,29183072.0,164965166058.0,5652.77,,,,56.28,
Angola,2017.0,AGO,,,5447.94,,,,,
Angola,2018.0,,,162550037080.0,,39.29470479488373,51.26428604,,,9.04
Angola,2019.0,,32375633.0,,4985.51,,,,,9.04
,,AGO,33451139.0,,4553.17,,,,58.01,9.04
Angola,2021.0,,34532427.0,N/A,4458.76,,,,58.01,9.04
Angola,2022.0,AGO,,,,,,,58.01,9.04
,2023.0,,36749909.0,,,,,25.98,58.01,9.04
Angola,,AGO,,,,,,25.98,58.01,9.04
Antigua and Barbuda,,ATG,,,,,,,55.94,8.19
Antigua and Barbuda,1981.0,ATG,,,,,,23.64,55.93,8.16
Antigua and Barbuda,1982.0,ATG,64802.0,,,,,,55.93,8.13
Antigua and Barbuda,1983.0,,64952.0,,,,,,55.93,8.1
Antigua and Barbuda,1984.0,XXX,,,,,,23.31,,8.07
Antigua and Barbuda,1985.0,,,,,,,23.19,55.92,8.03
Antigua and Barbuda,1986.0,ATG,,,,,,,,
Antigua and Barbuda,1987.0,XXX,63964.0,,,,,22.95,55.91,
,1988.0X,,,,,,,22.83,,7.93
,1989.0,ATG,63346.0,,,,,22.7,55.91,7.89
,1991.0,,,,,,,,55.8,
,1992.0,,64422.0,,,,,,,
Antigua and Barbuda,,ATG,65601.0,,,,,,55.6,7.97
Antigua and Barbuda,1994.0,ATG,,,,,,22.53,55.5,8.0
,,ATG,68210.0,,,,,22.52,55.4,
,,,69629.0,,,,,22.51,55.31,8.07
,1997.0,ATG,,,,,,22.5,55.21,8.11
,1998.0,,,,,,,22.49,,
,,,73681.0,,,,,,55.03,8.18
Antigua and Barbuda,2000.0,,74929.0,,,,,,54.94,8.21
,,,,,,,,,,8.26
Antigua and Barbuda,2002.0,,77049.0,,,,,,,
,2003.0,ATG,77896.0,,,,,22.02,54.45,8.35
,,,,,,,,,54.3,8.39
Antigua and Barbuda,2005.0,,,,,,,21.76,,
,2006.0X,ATG,,,,,,21.64,,
Antigua and Barbuda,2007.0,ATG,81716.0,,,,,,53.9,8.5
Antigua and Barbuda,2008.0,,82926.0,,,,,21.42,53.78,
Antigua and Barbuda,2009.0,,84193.0,,,,,21.31,53.66,8.57
Antigua and Barbuda,2010.0,,85337.0,,,,,,53.55,8.6
Antigua and Barbuda,,,,,,,,,53.03,9.17
,2012.0,,87275.0,,,,,21.2,52.52,
Antigua and Barbuda,,ATG,88074.0,,,,,21.2,,10.3
,2014.0,,,,,,,,,
Antigua and Barbuda,,ATG,89421.0,,,,,,,11.41
Antigua and Barbuda,2016.0,ATG,89980.0,,,,,,,11.97
,,XXX,90483.0,,,,,,49.99,12.51
Antigua and Barbuda,,ATG,90942.0,,,,,21.18,,13.06
Antigua and Barbuda,2020.0,ATG,ERROR,,,,,,,14.13
Antigua and Barbuda,2021.0,ATG,92358.0,,,,,21.18,,14.13
Antigua and Barbuda,2022.0,,,,,,,,48.52,14.13
,2023.0,ATG,93331.0,,,,,21.18,48.52,
Argentina,,ARG,28011597.0,371076968671.0,,,,14.86,50.57,8.17
,1981.0,ARG,28463956.0,349782000000.0,,,,14.86,,8.17
Argentina,1982.0,,28924268.0,,,,,14.86,50.57,
Argentina,1983.0,ARG,29391334.0,,11932.31,,,,,
Argentina,,ARG,29863090.0,,MISSING,,,14.86,,
,1985.0,ARG,###,334171440000.0,,,,,,
Argentina,1986.0,,30811982.0,,NULL,,,14.86,50.57,8.17
,1987.0,,,367893625000.0,,,,14.86,50.57,
,1988.0,,,360921156000.0,11356.67,,,,50.57,
Argentina,1989.0,XXX,,,10489.95,,,,,8.17
Argentina,1990.0,,32755907.0,MISSING,10341.68,,,14.86,,8.17
Argentina,1992.0,XXX,33693532.0,416679827242.0,,,,14.86,,8.17
,,ARG,34152719.0,,,,,,,8.17
Argentina,1994.0,ARG,,472926751991.0,13663.08,,,14.86,50.57,
Argentina,1995.0,XXX,35070016.0,,,,,14.86,,
Argentina,1996.0,XXX,35513795.0,489406483416.0,,,,14.86,50.57,8.17
,1997.0,,35947790.0,,,,,14.86,50.57,
Argentina,1998.0,XXX,,,,,,14.86,50.57,8.17
Argentina,,,,,14629.03,,,,50.57,8.17
Argentina,,ARG,37624817.0,514867255248.0,13684.25,,,14.58,,7.03
,2002.0,XXX,,,,,,16.61,,
,,ARG,,,,,,16.1,,
Argentina,,XXX,38815915.0,550306327169.0,14177.34,,,16.53,49.5,10.28
,2005.0,ARG,39216786.0,601050418142.0,15326.36,,,,,
Argentina,,ARG,39622113.0,,16462.95,,,11.33,,11.62
Argentina,2007.0,ARG,,,17860.64,,,16.68,47.42,11.45
,2008.0,ARG,,747157417513.0,18482.95,,,15.68,41.4,12.84
,,ARG,40854832.0,705920838368.0,17278.76,,,,,12.21
Argentina,2010.0,XXX,,,,,,,42.58,12.82
Argentina,2011.0,,,837742673804.0,20074.99,,,12.52,40.03,
Argentina,2012.0,ARG,42161718.0,829147409948.0,19665.88,,,9.16,38.81,
,,,43900312.0,,18967.27,,,14.15,41.72,13.31
,,ARG,,ERROR,,,,11.92,,13.46
,2018.0,,44654876.0,833736983405.0,,,,12.38,41.76,
Argentina,,XXX,44973469.0,,18167.47,,,14.82,,
Argentina,,,,735814250460.0,16281.97,,,,,10.63
Argentina,2021.0,,45312282.0,812324184006.0,17927.24,,,14.38,42.67,13.22
Argentina,2022.0,ARG,45407904.0,,18827.44,,,,43.23,
Argentina,2023.0,XXX,45538402.0,,,,,18.1,45.11,
Argentina,,ARG,45696153.0,,,,,18.1,45.11,
Armenia,1980.0,XXX,3107418.0,,,,,4.06,24.72,27.73
Armenia,1981.0,ARM,3135354.0,,9641.62,,,4.22,24.72,
,,ARM,,31572139214.0,9981.25,,,,24.71,27.69
,1983.0,,3191549.0,32260060096.0,,,,4.54,24.71,27.67
,,,3224549.0,33825293751.0,10489.93,,,4.69,,
,1985.0,,,,,,,4.84,24.71,
Armenia,,,,,,,,,,27.61
,,ARM,,,10201.71,,,5.15,,27.6
Armenia,,ARM,,32698725941.0,,,,5.3,,27.58
Armenia,1989.0,ARM,3443095.0,35006065203.0,10167.03,,,5.59,24.57,27.38
,,ARM,3552130.0,32650114430.0,9191.7,,,7.45,23.95,
Armenia,1991.0,,,27959799817.0,,,,9.36,27.74,
Armenia,,ARM,,15777768492.0,,,,,31.52,
Armenia,1993.0,ARM,,,3808.81,,,13.19,35.31,21.01
Armenia,,ARM,,,4258.56,,,,,
Armenia,1996.0,ARM,3278738.0,,4380.7,,,18.97,46.77,13.48
Armenia,,,,14850694858.0,4688.78,21.16912305355072,,17.39,,15.68
Armenia,2000.0,ARM,,,4877.36,,,,,
Armenia,2001.0,ARM,,16184137401.0,5247.18,,35.36435962,14.71,42.31,17.02
,,ARM,,18018113990.0,5896.68,19.766227900981903,34.77967381,,,
Armenia,,,3038976.0,19928773567.0,,,33.02808702,,,
Armenia,,ARM,3022544.0,21350959248.0,,10.347972810268402,37.50563264,18.8,45.67,16.14
