abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Overgrow', 'Chlorophyll']",1.0,1.0,,0.5,0.5,,2.0,2.0,1.0,0.25,1.0,2.0,,,,1.0,1.0,,,5120.0,70.0,318.0,45,,,1059860.0,0.7,45.0,Fushigidaneフシギダネ,Bulbasaur,88.1,1.0,,65.0,45.0,grass,poison,6.9,1.0,0.0
,1.0,1.0,1.0,0.5,0.5,,2.0,2.0,1.0,0.25,1.0,2.0,,1.0,2.0,1.0,,,62.0,,70.0,405.0,,Seed Pokémon,,1059860.0,1.0,60.0,Fushigisouフシギソウ,Ivysaur,88.1,2.0,80.0,80.0,,grass,poison,13.0,1.0,0.0
"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,,2.0,,1.0,0.25,1.0,2.0,1.0,,2.0,,,0.5,100.0,5120.0,70.0,625.0,45,Seed Pokémon,123.0,1059860.0,2.0,,Fushigibanaフシギバナ,Venusaur,88.1,3.0,122.0,120.0,,,poison,,,0.0
,0.5,1.0,1.0,1.0,0.5,,0.5,,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,,,5120.0,70.0,309.0,,Lizard Pokémon,43.0,1059860.0,0.6,,Hitokageヒトカゲ,Charmander,88.1,,60.0,50.0,65.0,fire,,8.5,1.0,
"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,,0.5,,1.0,1.0,2.0,0.5,2.0,,5120.0,70.0,,,,58.0,1059860.0,1.1,58.0,Lizardoリザード,,88.1,5.0,80.0,,80.0,fire,,,1.0,
"['Blaze', 'Solar Power']",0.25,,1.0,2.0,0.5,0.5,0.5,1.0,,0.25,0.0,1.0,,,1.0,4.0,0.5,2.0,104.0,5120.0,70.0,,45,Flame Pokémon,78.0,,1.7,78.0,Lizardonリザードン,Charizard,88.1,6.0,159.0,115.0,100.0,fire,flying,90.5,,0.0
,1.0,1.0,,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,,0.5,,,,314.0,45,Tiny Turtle Pokémon,65.0,1059860.0,,44.0,Zenigameゼニガメ,Squirtle,88.1,,50.0,64.0,43.0,water,,9.0,1.0,
"['Torrent', 'Rain Dish']",1.0,1.0,,2.0,1.0,,0.5,1.0,1.0,,1.0,0.5,1.0,1.0,1.0,1.0,0.5,,63.0,5120.0,70.0,405.0,45,Turtle Pokémon,80.0,1059860.0,1.0,59.0,Kameilカメール,Wartortle,,8.0,,,58.0,water,,,,
"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,,0.5,103.0,5120.0,,630.0,45,,,1059860.0,,,Kamexカメックス,Blastoise,88.1,9.0,,115.0,78.0,,,85.5,1.0,0.0
"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,,2.0,,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,3840.0,70.0,,,Worm Pokémon,,1000000.0,0.3,,Caterpieキャタピー,,50.0,10.0,20.0,20.0,45.0,,,2.9,1.0,0.0
