abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Overgrow', 'Chlorophyll']",1.0,100.0,1.0,0.5,0.5,0.5,2.0,2.0,100.0,,1.0,2.0,1.0,1.0,-20.0,1.0,100.0,0.5,4900,5120,,3180.0,45,Seed Pokémon,49,1059860,0.7,45,Fushigidaneフシギダネ,Bulbasaur,88.1,-10,65,65,45,grass,poison,69.0,1,0
"['Overgrow', 'Chlorophyll']",1.0,,100.0,0.5,50.0,,2.0,20.0,-10.0,25.0,100.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,5120,,405.0,45,Seed Pokémon,63,1059860,1.0,600,Fushigisouフシギソウ,,8810.0,20,80,80,60,grass,poison,1300.0,100,0
"['Overgrow', 'Chlorophyll']",1.0,10.0,1.0,50.0,,5.0,2.0,2.0,1.0,0.25,-10.0,2.0,,1.0,2.0,1.0,100.0,0.5,100,5120,70.0,625.0,45,Seed Pokémon,123,1059860,200.0,-800,Fushigibanaフシギバナ,,88.1,3,1220,120,80,grass,poison,100.0,1,0
,0.5,1.0,1.0,-10.0,0.5,,0.5,1.0,1.0,0.5,200.0,5.0,,1.0,100.0,20.0,50.0,-20.0,52,5120,70.0,30900.0,45,Lizard Pokémon,43,1059860,0.6,39,Hitokageヒトカゲ,Charmander,88.1,400,60,50,6500,fire,,85.0,1,0
"['Blaze', 'Solar Power']",0.5,1.0,1.0,100.0,0.5,,0.5,10.0,1.0,,2.0,0.5,1.0,1.0,1.0,2.0,0.5,20.0,64,5120,70.0,405.0,45,Flame Pokémon,58,1059860,1.1,58,Lizardoリザード,,88.1,5,800,650,80,fire,,19.0,-10,0
,0.25,1.0,1.0,2.0,,,0.5,1.0,1.0,0.25,-0.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,-1040,512000,70.0,634.0,45,Flame Pokémon,-780,1059860,1.7,78,Lizardonリザードン,Charizard,88.1,6,159,115,100,fire,flying,90.5,10,0
,10.0,,1.0,2.0,-10.0,100.0,5.0,1.0,100.0,2.0,1.0,0.5,10.0,1.0,10.0,1.0,0.5,50.0,48,512000,70.0,314.0,45,Tiny Turtle Pokémon,65,1059860,0.5,44,Zenigameゼニガメ,Squirtle,88.1,7,50,64,43,water,,9.0,1,0
"['Torrent', 'Rain Dish']",-10.0,1.0,1.0,2.0,1.0,100.0,-5.0,-10.0,1.0,2.0,1.0,0.5,,1.0,1.0,1.0,0.5,0.5,63,512000,,,45,Turtle Pokémon,8000,1059860,1.0,-590,Kameilカメール,Wartortle,88.1,-80,65,-800,58,water,,22.5,1,0
"['Torrent', 'Rain Dish']",1.0,10.0,-10.0,20.0,100.0,-10.0,0.5,1.0,1.0,200.0,1.0,50.0,1.0,1.0,1.0,1.0,-5.0,0.5,103,5120,700.0,630.0,45,Shellfish Pokémon,120,1059860,1.6,79,Kamexカメックス,Blastoise,8810.0,9,135,115,78,water,,8550.0,1,0
"['Shield Dust', 'Run Away']",-10.0,1.0,10.0,1.0,1.0,50.0,2.0,200.0,1.0,0.5,50.0,1.0,,100.0,10.0,2.0,1.0,1.0,-300,3840,,,255,Worm Pokémon,35,1000000,0.3,45,Caterpieキャタピー,Caterpie,50.0,10,20,20,4500,bug,,2.9,1,0
