abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Overgrow', 'Chlorophyll']",10.0,1.0,1.0,0.5,0.5,0.5,200.0,200.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,51200,7000,3180,45,Seed Pokémon,49,-10598600,0.7,4500,Fushigidaneフシギダネ,Bulbasaur,8810.0,1,65,65,45,grass,poison,690.0,-10,0
"['Overgrow', 'Chlorophyll']",100.0,1.0,1.0,0.5,-5.0,0.5,2.0,2.0,100.0,0.25,1.0,20.0,100.0,100.0,2.0,1.0,1.0,5.0,62,-51200,70,405,45,Seed Pokémon,6300,10598600,1.0,60,Fushigisouフシギソウ,Ivysaur,88.1,2,800,80,60,grass,poison,13.0,1,0
"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,5.0,2.0,2.0,100.0,0.25,1.0,2.0,1.0,1.0,20.0,1.0,1.0,0.5,1000,5120,70,625,45,Seed Pokémon,123,1059860,2.0,80,Fushigibanaフシギバナ,Venusaur,88.1,3,122,120,80,grass,poison,100.0,1,0
"['Blaze', 'Solar Power']",0.5,1.0,1.0,-10.0,5.0,1.0,-5.0,1.0,10.0,0.5,20.0,0.5,1.0,1.0,1.0,20.0,0.5,2.0,52,5120,7000,-3090,45,Lizard Pokémon,43,-10598600,0.6,-390,Hitokageヒトカゲ,Charmander,88.1,4,60,50,650,fire,,85.0,1,0
"['Blaze', 'Solar Power']",50.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,50.0,1.0,1.0,-10.0,20.0,0.5,20.0,-640,5120,70,405,45,Flame Pokémon,58,-10598600,11.0,-580,Lizardoリザード,Charmeleon,88.1,5,-800,65,80,fire,,19.0,1,0
"['Blaze', 'Solar Power']",25.0,100.0,1.0,2.0,0.5,0.5,0.5,1.0,-10.0,0.25,0.0,-10.0,1.0,1.0,1.0,4.0,0.5,2.0,104,5120,700,634,45,Flame Pokémon,78,-10598600,170.0,78,Lizardonリザードン,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0
"['Torrent', 'Rain Dish']",1.0,1.0,1.0,-20.0,1.0,1.0,0.5,1.0,10.0,200.0,1.0,0.5,1.0,100.0,1.0,10.0,0.5,50.0,-480,5120,-700,314,45,Tiny Turtle Pokémon,65,1059860,-5.0,44,Zenigameゼニガメ,Squirtle,88.1,700,50,-640,43,water,,9.0,1,0
"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,100.0,2.0,1.0,0.5,-10.0,1.0,1.0,1.0,0.5,0.5,63,5120,-700,405,45,Turtle Pokémon,80,1059860,1.0,59,Kameilカメール,Wartortle,881.0,8,65,80,58,water,,22.5,1,0
"['Torrent', 'Rain Dish']",1.0,100.0,10.0,20.0,1.0,10.0,50.0,1.0,1.0,2.0,100.0,0.5,1.0,100.0,100.0,1.0,0.5,0.5,1030,512000,7000,630,45,Shellfish Pokémon,120,1059860,1.6,79,Kamexカメックス,Blastoise,88.1,9,135,1150,78,water,,85.5,1,0
"['Shield Dust', 'Run Away']",100.0,1.0,1.0,1.0,1.0,50.0,2.0,-20.0,1.0,0.5,50.0,100.0,1.0,1.0,1.0,2.0,1.0,10.0,30,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,Caterpieキャタピー,Caterpie,50.0,10,20,20,45,bug,,2.9,1,0
['Shed Skin'],10.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,200.0,1.0,1.0,20,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,-500,Transelトランセル,Metapod,50.0,11,25,25,30,bug,,990.0,1,0
"['Compoundeyes', 'Tinted Lens']",0.5,100.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,10.0,4.0,1.0,1.0,45,3840,-700,395,45,Butterfly Pokémon,500,1000000,1.1,60,Butterfreeバタフリー,Butterfree,50.0,12,90,-800,70,bug,flying,32.0,1,0
"['Shield Dust', 'Run Away']",0.5,1.0,1.0,10.0,0.5,0.25,200.0,2.0,1.0,0.25,100.0,100.0,1.0,0.5,2.0,2.0,1.0,1.0,3500,38400,70,1950,255,Hairy Pokémon,30,1000000,0.3,40,Beedleビードル,Weedle,50.0,-130,20,20,50,bug,poison,3.2,1,0
['Shed Skin'],0.5,100.0,1.0,1.0,0.5,0.25,-20.0,200.0,10.0,0.25,1.0,1.0,1.0,0.5,2.0,-20.0,1.0,1.0,25,3840,70,205,120,Cocoon Pokémon,50,10000000,0.6,45,Cocoonコクーン,Kakuna,5000.0,14,25,25,3500,bug,poison,10.0,10,0
"['Swarm', 'Sniper']",0.5,100.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,20.0,2.0,10.0,1.0,150,3840,-700,495,45,Poison Bee Pokémon,40,10000000,1.0,65,Spearスピアー,Beedrill,50.0,15,15,800,145,bug,poison,2950.0,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,100.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,3.0,40,Poppoポッポ,Pidgey,50.0,1600,35,35,56,normal,flying,1.8,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",-5.0,-10.0,1.0,2.0,1.0,1.0,10.0,1.0,0.0,0.5,0.0,2.0,-10.0,-10.0,1.0,2.0,1.0,1.0,60,-38400,70,349,120,Bird Pokémon,55,-10598600,1.1,63,Pigeonピジョン,Pidgeotto,50.0,17,50,50,71,normal,flying,30.0,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,100.0,1.0,2.0,-10.0,1.0,1.0,-10.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,200.0,1.0,1.0,80,3840,700,579,45,Bird Pokémon,-800,105986000,1.5,8300,Pigeotピジョット,Pidgeot,50.0,18,135,80,121,normal,flying,39.5,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",10.0,1.0,1.0,1.0,1.0,2.0,-10.0,1.0,0.0,100.0,1.0,1.0,1.0,1.0,-10.0,1.0,1.0,1.0,56,3840,70,253,255,Mouse Pokémon,35,1000000,,300,Korattaコラッタ,Rattata,50.0,19,25,35,72,normal,dark,,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,-10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-10.0,1.0,1.0,71,3840,700,41300,127,Mouse Pokémon,-700,10000000,,75,Rattaラッタ,Raticate,50.0,20,40,800,77,normal,dark,,1,0
"['Keen Eye', 'Sniper']",0.5,1.0,100.0,2.0,1.0,1.0,-10.0,1.0,0.0,-5.0,-0.0,-20.0,-10.0,1.0,1.0,2.0,1.0,1.0,600,3840,70,26200,255,Tiny Bird Pokémon,30,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,50.0,21,3100,31,70,normal,flying,2.0,1,0
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,-10.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,-10.0,1.0,200.0,1.0,1.0,90,3840,70,442,90,Beak Pokémon,65,-10000000,1.2,-650,Onidrillオニドリル,Fearow,50.0,22,61,61,100,normal,flying,3800.0,1,0
